Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
GBR;GBR000C20704;;MOD;2018-05-09;2020-08-03;C20704;CY858;TOSHER;CY;Castlebay;;N;Y;N;N;;N;;FX;FPO;NK;;;;;6.40;6.40;2.47;0.00;0.00;22.38;0.00;3;2015-08-04;MFL;;;PA;2011-01-01
GBR;GBR000C20705;9747388;MOD;2020-07-29;2020-12-10;C20705;LK75;VENTUROUS;LK;Lerwick;2IIJ2;Y;Y;Y;Y;;N;235110013;FX;OTB;NK;;;;;26.01;23.94;262.00;0.00;0.00;480.00;0.00;3;2015-07-31;MFL;;;PA;2015-01-01
GBR;GBR000C20709;;MOD;2019-10-25;2020-11-08;C20709;SD11;ESMAY;SD;Sunderland;;N;Y;N;N;;N;;FX;FPO;FPO;LL;NK;;;6.15;6.15;1.21;0.00;0.00;32.00;0.00;3;2015-06-22;MFL;;;PA;2013-01-01
GBR;GBR000C20710;;MOD;2016-08-15;2020-11-16;C20710;RX109;WILFIE A;RX;Rye;;N;Y;N;N;;N;;FX;OTB;NK;;;;;9.75;9.95;10.49;0.00;0.00;104.00;0.00;3;2015-10-16;MFL;;;PA;2015-01-01
GBR;GBR000C20711;;MOD;2015-09-08;2020-09-03;C20711;KY39;BROTHERS IN ARMS;KY;Kirkcaldy;;N;Y;N;;;;;FX;FPO;NO;;;;;6.99;0.00;1.54;0.00;0.00;44.20;0.00;3;2015-07-27;MFL;;;;2015-01-01
GBR;GBR000C20712;;MOD;2016-03-16;2020-12-30;C20712;WK888;GIRL CARA;WK;Wick;;N;Y;N;;;;;FX;FPO;NO;;;;;6.40;0.00;4.08;0.00;0.00;18.40;0.00;3;2015-10-22;MFL;;;;2015-01-01
GBR;GBR000C20713;;MOD;2020-07-21;2020-12-30;C20713;BS547;SPIGOLA;BS;Beaumaris;;N;Y;N;N;;N;;FX;LX;NK;SV;;;;4.35;4.35;0.49;0.00;0.00;22.10;0.00;3;2015-07-21;MFL;;;PA;2000-01-01
GBR;GBR000C20714;8780357;MOD;2020-07-29;2020-10-15;C20714;N315;STEADFAST;N;Newry;2IVI3;Y;Y;Y;Y;;N;235113099;FX;OTB;NK;OTM;TBN;;;18.70;16.40;160.00;0.00;0.00;675.00;0.00;2;2015-08-10;MFL;;;PA;2015-01-01
GBR;GBR000C20715;;MOD;2015-10-13;2020-12-30;C20715;RX465;RECEIVER;RX;Rye;;N;Y;N;N;;N;;FX;GND;NK;GN;LX;;;5.13;5.13;0.99;0.00;0.00;14.90;0.00;3;2015-09-21;MFL;;;PA;2000-01-01
GBR;GBR000C20716;;MOD;2020-03-18;2020-12-30;C20716;PE1094;MADDY MOO;PE;Poole;;N;Y;N;N;;N;;FX;LX;FPO;GN;LL;;;6.50;6.50;0.57;0.00;0.00;89.50;0.00;3;2015-08-20;MFL;;;PA;2015-01-01
GBR;GBR000C20717;;MOD;2019-10-31;2020-11-09;C20717;BM564;FULL ON;BM;Brixham;;N;Y;N;N;;N;;FX;LX;NK;;;;;6.89;6.89;1.82;0.00;0.00;162.00;0.00;3;2015-10-12;MFL;;;PA;2005-01-01
GBR;GBR000C20718;;MOD;2019-10-31;2020-12-30;C20718;BW8;Y KNOT;BW;Barrow;;N;Y;N;N;;N;;FX;OTB;NK;;;;;5.20;5.20;1.45;0.00;0.00;74.60;0.00;3;2015-08-04;MFL;;;PA;2007-01-01
GBR;GBR000C20719;;MOD;2015-09-08;2020-08-25;C20719;BS548;SARAH ROSE;BS;Beaumaris;;N;Y;N;N;;N;;FX;FPO;NK;;;;;4.87;4.87;0.76;0.00;0.00;3.00;0.00;3;2015-08-07;MFL;;;PA;1992-01-01
GBR;GBR000C20720;;MOD;2018-03-23;2020-12-30;C20720;CN62;DOCHAS;CN;Campbeltown;;N;Y;N;N;;N;;FX;FPO;;;;;;6.40;6.40;1.50;0.00;0.00;36.80;0.00;3;2016-04-25;MFL;;;PA;2014-01-01
GBR;GBR000C20721;;MOD;2015-10-15;2020-08-10;C20721;FR170;MAKFORT;FR;Fraserburgh;;N;Y;N;N;;N;;FX;FPO;LHP;NK;;;;9.90;9.78;5.79;0.00;0.00;161.00;0.00;3;2015-08-11;MFL;;;PA;2015-01-01
GBR;GBR000C20722;;MOD;2020-06-03;2020-08-12;C20722;E39;PETIT PAPILLON;E;Exeter;;N;Y;N;N;;N;;FX;OTB;NK;;;;;4.55;4.55;0.52;0.00;0.00;6.00;0.00;3;2015-09-14;MFL;;;PA;1995-01-01
GBR;GBR000C20723;;MOD;2016-01-08;2020-11-02;C20723;NT1059;GIRLS;NT;Newport;;N;Y;N;;;;;FX;GNS;NO;;;;;4.39;0.00;0.55;0.00;0.00;18.40;0.00;3;2015-08-05;MFL;;;;2000-01-01
GBR;GBR000C20724;;MOD;2016-02-16;2020-12-30;C20724;CN167;ROLLING WAVE;CN;Campbeltown;;N;Y;N;;;;;FX;FPO;NO;;;;;5.70;0.00;1.06;0.00;0.00;18.40;0.00;3;2016-01-20;MFL;;;;2016-01-01
GBR;GBR000C20725;;MOD;2019-11-01;2020-09-14;C20725;BW2;BIG RED;BW;Barrow;;N;Y;N;N;;N;;FX;FPO;NK;;;;;5.93;5.93;1.46;0.00;0.00;66.20;0.00;3;2015-08-11;MFL;;;PA;2015-01-01
GBR;GBR000C20727;;MOD;2020-06-11;2020-12-30;C20727;INS153;CHRISTINA ANNE;INS;Inverness;;N;Y;N;N;;N;;FX;OTB;NK;;;;;7.45;7.45;2.14;0.00;0.00;37.00;0.00;3;2015-08-14;MFL;;;PA;1990-01-01
GBR;GBR000C20728;;MOD;2019-02-05;2020-12-30;C20728;LH67;FORTH SELKIE;LH;Leith;;N;Y;N;N;;N;;FX;FPO;LHP;NK;;;;6.30;6.30;1.06;0.00;0.00;74.60;0.00;3;2015-09-07;MFL;;;PA;1996-01-01
GBR;GBR000C20729;;MOD;2016-12-01;2020-12-30;C20729;FH779;LADY LOU;FH;Falmouth;;N;Y;N;;;;;FX;LHP;NO;;;;;6.99;0.00;1.78;0.00;0.00;88.20;0.00;3;2015-09-10;MFL;;;;2015-01-01
GBR;GBR000C20730;;MOD;2015-11-03;2020-09-01;C20730;PD282;ANSAAL;PD;Peterhead;;N;Y;N;N;;N;;FX;FPO;NK;;;;;5.95;5.65;1.65;0.00;0.00;28.00;0.00;3;2015-10-01;MFL;;;PA;2002-01-01
GBR;GBR000C20731;;MOD;2016-10-19;2020-12-30;C20731;SA420;RUBIE DOO;SA;Swansea;;N;Y;N;;;;;FX;GNS;LHP;;;;;6.00;0.00;1.23;0.00;0.00;73.60;0.00;3;2015-09-01;MFL;;;;1998-01-01
GBR;GBR000C20732;;MOD;2019-11-05;2020-12-30;C20732;WH794;STELLA;WH;Weymouth;;N;Y;N;N;;N;;FX;LX;GN;NK;;;;4.85;4.85;1.22;0.00;0.00;44.70;0.00;3;2015-11-23;MFL;;;PA;1987-01-01
GBR;GBR000C20733;;MOD;2019-10-25;2020-12-30;C20733;WY846;VALIANT;WY;Whitby;;N;Y;N;N;;N;;FX;FPO;GN;LL;OTS;;;6.82;6.82;1.63;0.00;0.00;23.12;0.00;1;2015-10-22;MFL;;;PA;1985-01-01
GBR;GBR000C20734;;MOD;2020-03-23;2020-12-30;C20734;CN6;HONESTAS;CN;Campbeltown;;N;Y;N;N;;N;;FX;OTB;NK;;;;;6.90;6.90;1.84;0.00;0.00;84.60;0.00;3;2015-11-17;MFL;;;PA;2006-01-01
GBR;GBR000C20735;;MOD;2018-04-16;2020-12-30;C20735;FR3;SHIKARA;FR;Fraserburgh;;N;Y;N;;;;;FX;FPO;NO;;;;;6.11;0.00;1.28;0.00;0.00;52.00;0.00;3;2015-10-13;MFL;;;;2009-01-01
GBR;GBR000C20736;;MOD;2017-02-02;2020-11-16;C20736;BD14;PAIR I;BD;Bideford;;N;Y;N;N;;N;;FX;LHP;NK;LHP;;;;4.00;4.00;0.43;0.00;0.00;36.80;0.00;3;2015-08-27;MFL;;;PA;2010-01-01
GBR;GBR000C20737;;MOD;2020-01-15;2020-11-03;C20737;FY936;MAX AND RUBY;FY;Fowey;;N;Y;N;N;;N;;FX;OTB;NK;;;;;5.66;5.66;1.26;0.00;0.00;29.40;0.00;3;2015-10-12;MFL;;;PA;1997-01-01
GBR;GBR000C20738;;MOD;2015-11-04;2020-09-06;C20738;BS550;ALUMINATI;BS;Beaumaris;;N;Y;N;N;;N;;FX;FPO;GN;LL;LHP;;;5.19;5.19;0.94;0.00;0.00;29.40;0.00;3;2015-09-29;MFL;;;PA;2015-01-01
GBR;GBR000C20739;;MOD;2019-10-25;2020-09-20;C20739;HL291;SEA MIST;HL;Hartlepool;;N;Y;N;N;;N;;FX;FPO;GTR;LL;TBN;;;8.50;7.84;7.27;0.00;0.00;62.00;0.00;3;2015-10-21;MFL;;;PA;2015-01-01
GBR;GBR000C20740;;MOD;2016-08-15;2020-12-30;C20740;FE388;SILVER DARLING;FE;Folkestone;;N;Y;N;N;;N;;FX;GND;NK;FPO;GN;;;5.60;5.60;1.15;0.00;0.00;11.20;0.00;3;2015-09-11;MFL;;;PA;1999-01-01
GBR;GBR000C20741;;MOD;2019-10-25;2020-10-18;C20741;BH80;DAWN MARIE;BH;Blyth;;N;Y;N;N;;N;;FX;FPO;NK;GTR;;;;5.86;5.86;1.63;0.00;0.00;29.42;0.00;3;2015-10-09;MFL;;;PA;2015-01-01
GBR;GBR000C20743;;MOD;2019-11-04;2020-12-30;C20743;E34;SKIP;E;Exeter;;N;Y;N;N;;N;;FX;LX;NK;OTB;GN;;;4.32;4.32;0.51;0.00;0.00;7.38;0.00;3;2015-09-11;MFL;;;PA;1999-01-01
GBR;GBR000C20744;;MOD;2019-10-23;2020-10-15;C20744;BM31;NITTY GRITTY;BM;Brixham;;N;Y;N;N;;N;;FX;FPO;NK;;;;;5.75;5.75;1.11;0.00;0.00;14.92;0.00;3;2015-10-05;MFL;;;PA;1995-01-01
GBR;GBR000C20745;;MOD;2020-03-03;2020-11-16;C20745;CN27;OUR ISLA;CN;Campbeltown;;N;Y;N;N;;N;;FX;FPO;GN;TBN;DRB;;;8.50;8.50;2.04;0.00;0.00;95.00;0.00;3;2015-09-18;MFL;;;PA;2001-01-01
GBR;GBR000C20746;;MOD;2015-09-22;2020-09-14;C20746;PH992;HAPPY DAYS;PH;Plymouth;;N;Y;N;N;;N;;FX;LHP;NK;LL;LHP;;;9.95;9.95;1.02;0.00;0.00;134.28;0.00;3;2015-09-16;MFL;;;PA;2015-01-01
GBR;GBR000C20747;;MOD;2016-02-09;2020-12-30;C20747;N230;SHARON ELIZABETH;N;Newry;;N;N;N;;;;;FX;OTB;NO;;;;;9.75;0.00;6.28;0.00;0.00;0.00;0.00;1;2016-01-29;MFL;;;;1974-01-01
GBR;GBR000C20748;;MOD;2017-08-11;2020-12-30;C20748;LK617;JASPER;LK;Lerwick;;N;Y;N;;;;;FX;LHM;NO;;;;;9.10;0.00;4.06;0.00;0.00;208.00;0.00;3;2015-12-31;MFL;;;;2003-01-01
GBR;GBR000C20749;;MOD;2016-03-18;2020-12-30;C20749;LK55;SEA SPRAY;LK;Lerwick;;N;Y;N;;;;;FX;LHM;NO;;;;;9.10;0.00;4.06;0.00;0.00;194.00;0.00;3;2015-10-16;MFL;;;;2015-01-01
GBR;GBR000C20750;;MOD;2020-07-15;2020-12-30;C20750;CY149;AMBER LILY;CY;Castlebay;2IOD4;Y;Y;N;N;;N;;FX;FPO;NK;;;;;5.70;5.70;1.02;0.00;0.00;18.40;0.00;3;2015-10-13;MFL;;;PA;2003-01-01
GBR;GBR000C20751;;MOD;2019-11-05;2020-12-30;C20751;PE28;POPPY;PE;Poole;;N;Y;N;N;;N;;FX;FIX;FPO;LX;GN;;;6.00;6.00;1.02;0.00;0.00;29.83;0.00;3;2015-12-18;MFL;;;PA;2015-01-01
GBR;GBR000C20752;;MOD;2016-04-08;2020-11-12;C20752;FY68;CLARE;FY;Fowey;;N;Y;N;;;;;FX;LHP;NO;;;;;5.52;0.00;0.99;0.00;0.00;14.30;0.00;3;2016-02-11;MFL;;;;2016-01-01
