Country of Registration;CFR;UVI;Event;Event Start Date;Event End Date;Registration Number;External marking;Name of vessel;Place of registration;Place of registration name;IRCS;IRCS indicator;Licence indicator;VMS indicator;ERS indicator;ERS Exempt indicator;AIS indicator;MMSI;Vessel Type;Main fishing gear;Subsidiary fishing gear 1;Subsidiary fishing gear 2;Subsidiary fishing gear 3;Subsidiary fishing gear 4;Subsidiary fishing gear 5;LOA;LBP;Tonnage GT;Other tonnage;GTs;Power of main engine;Power of auxiliary engine;Hull material;Date of entry into service;Segment;Country of importation/exportation;Type of export;Public aid;Year of construction
GBR;BEL003191989;8816120;MOD;2020-07-28;2020-12-22;C18304;FD283;TRUI VAN HINTE;FD;Fleetwood;MFTX2;Y;Y;Y;Y;;N;235007860;TU;TBB;NK;;;;;40.25;35.86;474.00;0.00;0.00;1470.00;400.00;2;2004-10-19;MFL;;;PA;1989-01-01
GBR;BEL024622000;8740802;MOD;2019-02-21;2020-12-22;C21226;SM462;FLOWING STREAM;SM;Shoreham;MELG9;Y;Y;Y;Y;;N;;DB;DRB;NK;;;;;37.89;32.98;385.00;0.00;0.00;957.00;0.00;2;2019-01-14;MFL;;;PA;2000-01-01
GBR;BEL031981998;9056208;MOD;2019-11-01;2020-09-06;C20742;E198;MARGARET OF LADRAM;E;Exeter;2EWU9;Y;Y;Y;Y;;N;;TU;TBB;NK;;;;;29.86;29.86;264.00;0.00;0.00;749.00;0.00;2;2015-09-07;MFL;;;PA;1998-01-01
GBR;DEU002000300;9187203;MOD;2020-07-31;2020-12-22;C19448;BM181;LASS O DOUNE;BM;Brixham;DFRA;Y;Y;Y;Y;;N;235103644;TU;DRB;DRB;NK;;;;23.97;21.07;150.00;0.00;0.00;221.00;0.00;2;2009-02-12;MFL;;;PA;1998-01-01
GBR;DEU401160101;9021710;MOD;2019-06-04;2020-12-22;C20130;BA4;OSPREY;BA;Ballantrae;2FGY3;Y;Y;Y;Y;;N;;DB;DRB;OTT;DRB;NK;;;23.99;22.74;164.00;0.00;0.00;221.00;0.00;2;2012-02-13;MFL;;;PA;1991-01-01
GBR;DEU401190101;9019418;MOD;2020-07-31;2020-12-22;C19911;BM110;OUR PAMELA JILL;BM;Brixham;2EQU2;Y;Y;Y;Y;;N;235087406;DB;DRB;NK;DRB;;;;23.98;22.55;159.00;0.00;0.00;221.00;0.00;2;2011-06-16;MFL;;;PA;1990-01-01
GBR;DEU401200101;9019389;MOD;2020-07-28;2020-12-22;C19943;BM112;ETERNAL PROMISE;BM;Brixham;2ETK8;Y;Y;Y;Y;;N;;DOX;DRB;TBB;NK;;;;23.98;22.55;119.62;0.00;0.00;221.00;0.00;2;2011-07-12;MFL;;;PA;1900-01-01
GBR;DNK000001730;;MOD;2019-11-05;2020-12-30;C20273;GY451;STORMY C;GY;Grimsby;2GEH2;Y;Y;Y;Y;;N;;WO;FPO;NK;;;;;17.06;15.53;41.00;0.00;0.00;127.00;0.00;1;2013-07-11;MFL;;;PA;1960-01-01
GBR;DNK000003624;;MOD;2018-11-30;2020-11-11;C20418;CY292;ANNETTE;CY;Castlebay;XP4371;Y;Y;Y;Y;;N;;WO;FPO;NK;;;;;16.20;15.06;38.00;0.00;0.00;212.00;0.00;1;2014-05-01;MFL;;;PA;1982-01-01
GBR;DNK000004690;8557360;MOD;2015-11-18;2020-10-29;C19116;GY1477;NORDSTJERNEN;GY;Grimsby;2AMZ4;Y;Y;Y;Y;;N;;WO;FPO;OTB;NK;GN;;;15.60;14.16;32.00;0.00;0.00;116.00;0.00;1;2007-12-11;MFL;;;PA;1976-01-01
GBR;DNK000011532;8540769;MOD;2019-12-01;2020-12-22;C20122;GY903;JUBILEE PRIDE;GY;Grimsby;2FFG9;Y;Y;Y;Y;;N;;WO;OTB;NK;;;;;17.76;16.24;47.00;0.00;0.00;145.00;0.00;1;2012-01-23;MFL;;;PA;1979-01-01
GBR;DNK000011723;;MOD;2020-05-18;2020-12-30;C20666;HL200;TINGANES;HL;Hartlepool;2ILB9;Y;Y;Y;Y;;N;;TO;OTB;TBN;NK;SDN;;;14.25;13.40;24.75;0.00;0.00;175.00;0.00;1;2015-05-18;MFL;;;PA;1987-01-01
GBR;DNK000013346;8560551;MOD;2019-11-06;2020-12-22;C19875;GY450;INGER LIS;GY;Grimsby;2ELG6;Y;Y;Y;Y;;N;;WO;FPO;NK;FPO;;;;15.59;14.99;30.81;0.00;0.00;215.00;0.00;1;2011-06-29;MFL;;;PA;1974-01-01
GBR;DNK000034532;8996504;MOD;2019-07-23;2020-12-22;C20348;N109;ACHILLES;N;Newry;2GML8;Y;Y;Y;Y;;N;;TT;OTM;TBN;NK;;;;21.20;18.36;154.00;0.00;0.00;559.50;0.00;2;2013-04-25;MFL;;;PA;2004-01-01
GBR;DNK000041592;9643582;MOD;2020-07-29;2020-12-22;C20785;PD35;TRANQUILITY;PD;Peterhead;2JCY8;Y;Y;Y;Y;;N;235114876;FX;SSC;NK;;;;;25.56;22.54;242.10;0.00;0.00;578.00;0.00;2;2016-01-15;MFL;;;PA;2012-01-01
GBR;ESP000022179;9068976;MOD;2020-07-28;2020-12-22;C19414;INS29;INVERDALE;INS;Inverness;2BQJ6;Y;Y;Y;Y;;N;235068431;FX;GN;FPO;LL;NK;;;26.30;22.70;150.90;0.00;0.00;295.60;0.00;2;2008-12-17;MFL;;;PA;1992-01-01
GBR;ESP000022939;9110456;MOD;2020-07-28;2020-12-22;C18942;M1170;ARMAVEN UNO;M;Milford Haven;MFWD;Y;Y;Y;Y;;N;235051173;FX;OTB;NK;;;;;31.65;28.51;268.00;0.00;0.00;661.00;0.00;2;2007-02-14;MFL;;;PA;1995-01-01
GBR;ESP000023030;9120229;MOD;2020-07-28;2020-12-22;C19630;OB113;PATRICIA MARTA;OB;Oban;2CWX4;Y;Y;Y;Y;;N;235076457;FX;OTB;FPO;NK;LL;;;32.99;30.37;291.00;0.00;0.00;359.00;0.00;2;2010-01-05;MFL;;;PA;1995-01-01
GBR;ESP000025864;9313333;MOD;2019-12-31;2020-12-22;C21048;FD106;MAR DE CRETA;FD;Fleetwood;MBXY8;Y;Y;Y;Y;;N;;FX;LLD;NK;;;;;45.00;40.64;516.00;0.00;0.00;790.00;0.00;2;2017-09-22;MFL;;;PA;2003-01-01
GBR;FRA000463234;8662141;MOD;2020-07-28;2020-12-22;C20118;N29;SANCTA MARIA;N;Newry;2FOV7;Y;Y;Y;Y;;N;;FX;OTB;OTM;NK;TBN;;;20.37;17.88;106.00;0.00;0.00;316.00;0.00;2;2011-12-20;MFL;;;PA;1979-01-01
GBR;FRA000555245;8556378;MOD;2018-10-11;2020-09-15;C20914;M55;FRELSI;M;Milford Haven;;N;Y;Y;Y;;N;;FX;FPO;LL;NK;GN;;;14.89;14.89;39.81;0.00;0.00;100.00;0.00;1;2016-10-05;MFL;;;PA;1983-01-01
GBR;FRA000614948;8799401;MOD;2019-05-08;2020-12-22;C20772;BA104;BON AMI;BA;Ballantrae;2JCY6;Y;Y;Y;Y;;N;;FX;TBN;OTT;NK;;;;16.30;16.30;65.00;0.00;0.00;316.00;0.00;2;2016-02-01;MFL;;;PA;1985-01-01
GBR;FRA000642414;8570257;MOD;2020-01-21;2020-12-30;C20459;B110;IMOGEN III;B;Belfast;2HDC2;Y;Y;Y;Y;;N;;TT;OTB;GN;NK;;;;14.50;13.53;39.04;0.00;0.00;220.00;0.00;2;2013-12-13;MFL;;;PA;1986-01-01
GBR;FRA000651429;8705137;MOD;2019-10-18;2020-08-23;C21322;N9;TIGERS II;N;Newry;MFPN3;Y;Y;Y;Y;;N;;FX;OTB;OTM;NK;;;;24.95;22.06;200.16;0.00;0.00;442.00;0.00;2;2019-09-12;MFL;;;PA;1986-01-01
GBR;FRA000721890;9095175;MOD;2018-09-14;2020-10-20;C20757;N386;FAIRHAVENS;N;Newry;2JCI7;Y;Y;Y;Y;;N;;FX;OTB;NK;OTM;;;;21.00;18.24;121.00;0.00;0.00;423.00;0.00;2;2015-12-15;MFL;;;PA;1992-01-01
GBR;FRA000786287;8699663;MOD;2020-07-31;2020-12-22;C20296;PZ498;STELISSA;PZ;Penzance;2GFP7;Y;Y;Y;Y;;N;235097013;GO;GNS;FPO;OTT;LHP;;;20.60;20.02;140.00;0.00;0.00;289.00;0.00;2;2013-03-11;MFL;;;PA;1991-01-01
GBR;GBR00000J109;;MOD;2019-04-16;2020-12-30;J109;J109;PETER MICHAEL;J;Jersey;;N;Y;N;N;;N;;FX;FPO;LHP;GN;LL;;;9.77;9.47;6.29;0.00;0.00;175.00;0.00;5;2009-04-17;MFL;;;PA;2008-01-01
GBR;GBR00000M016;;MOD;2019-12-08;2020-12-30;M016;CT1;SKATE;CT;Castletown;;N;Y;N;N;;N;;FX;OTB;NK;;;;;6.13;6.13;0.20;0.00;0.00;26.00;0.00;5;1989-01-01;MFL;;;PA;1969-01-01
GBR;GBR00000M018;8561531;MOD;2019-03-07;2020-12-22;M018;CT76;MAUREEN PATRICIA;CT;Castletown;MAQZ4;Y;Y;Y;Y;;N;;FX;DRB;NK;OTB;;;;13.97;12.95;27.91;0.00;0.00;128.00;0.00;5;1989-01-01;MFL;;;PA;1970-01-01
GBR;GBR00000M044;8576160;MOD;2013-10-23;2020-08-05;M044;DO37;MARIDA;DO;Douglas;MLIM;Y;Y;Y;Y;;N;;FX;DRB;OTB;NK;;;;15.36;14.23;39.45;0.00;0.00;128.00;0.00;1;1989-01-01;MFL;;;PA;1968-01-01
GBR;GBR00000M055;;MOD;2019-03-07;2020-12-30;M055;CT5;WHISKY GALORE;CT;Castletown;;N;Y;N;N;;N;;FX;FPO;NK;;;;;9.98;9.70;11.53;0.00;0.00;239.00;0.00;3;1989-01-01;MFL;;;PA;1991-01-01
GBR;GBR00000M063;8535790;MOD;2015-10-29;2020-12-30;M063;PL63;VALONIA;PL;Peel;MGTQ8;Y;Y;Y;Y;;N;;FX;DRB;OTB;NK;;;;17.14;15.23;55.71;0.00;0.00;221.00;0.00;1;1989-01-01;MFL;;;PA;1975-01-01
GBR;GBR00000M068;;MOD;2017-10-03;2020-12-30;M068;PL11;BENOLAS;PL;Peel;MZZW6;Y;Y;Y;Y;;N;;FX;DRB;DRB;NK;OTB;;;13.20;11.98;35.24;0.00;0.00;179.00;0.00;5;2006-10-03;MFL;;;PA;1974-01-01
GBR;GBR00000M069;;MOD;2011-10-20;2020-12-30;M069;RY18;FOWAN;RY;Ramsey;;N;N;N;;;;;FX;OTB;NO;;;;;7.41;0.00;4.41;0.00;0.00;33.00;0.00;3;1989-01-01;MFL;;;;1975-01-01
GBR;GBR00000M075;;CHA;2011-02-25;2020-12-30;M075;PL14;PELICAN;PL;Peel;;N;N;N;;;;;FX;OTB;NO;;;;;7.00;0.00;0.01;0.00;0.00;35.00;0.00;3;2011-02-25;MFL;;;;1976-01-01
GBR;GBR00000M083;;MOD;2019-03-07;2020-12-30;M083;RY12;OUR LADS;RY;Ramsey;;N;Y;N;N;;N;;FX;FPO;NK;;;;;7.76;7.39;4.74;0.00;0.00;46.25;0.00;3;1989-01-01;MFL;;;PA;1993-01-01
GBR;GBR00000M085;;MOD;2019-03-07;2020-12-30;M085;DO1;BOY JUAN;DO;Douglas;;N;Y;N;N;;N;;FX;SB;NK;;;;;9.12;9.12;6.13;0.00;0.00;90.00;0.00;5;1989-01-01;MFL;;;PA;1975-01-01
GBR;GBR00000M089;;MOD;2019-03-07;2020-12-30;M089;CT21;MICHAEL J;CT;Castletown;;N;Y;N;N;;N;;FX;FPO;NK;;;;;6.04;6.04;1.56;0.00;0.00;13.43;0.00;1;1989-01-01;MFL;;;PA;1956-01-01
GBR;GBR00000M092;;MOD;2019-10-01;2020-12-30;M092;CT32;JULIE M;CT;Castletown;;N;Y;N;N;;N;;FX;FPO;OTB;DRB;NK;;;8.40;7.84;4.32;0.00;0.00;89.00;0.00;2;1989-01-01;MFL;;;PA;1989-01-01
GBR;GBR00000M103;;MOD;2020-06-18;2020-12-30;M103;CT74;GIMMAGH;CT;Castletown;;N;Y;N;N;;N;;FX;FPO;NK;;;;;5.90;5.90;1.40;0.00;0.00;15.00;0.00;3;1989-01-01;MFL;;;PA;1994-01-01
GBR;GBR00000M105;;MOD;2017-02-24;2020-12-30;M105;RY3;CAIR VIE;RY;Ramsey;MJAE4;Y;Y;N;;;;;FX;DRB;NO;;;;;12.79;0.00;28.60;0.00;0.00;169.00;0.00;2;1989-01-01;MFL;;;;1986-01-01
GBR;GBR00000M112;;MOD;2010-09-10;2020-12-30;M112;DO90;EMERALD STAR;DO;Douglas;PE V V;Y;N;Y;;;;;FX;OTB;NO;;;;;19.90;0.00;86.55;0.00;0.00;194.00;0.00;2;1989-01-01;MFL;;;;1984-01-01
GBR;GBR00000M118;;MOD;2019-03-07;2020-12-30;M118;RY35;TWO SISTERS;RY;Ramsey;;N;Y;N;N;;N;;FX;FPO;NK;;;;;8.17;7.75;5.88;0.00;0.00;164.00;0.00;3;1989-01-01;MFL;;;PA;1996-01-01
GBR;GBR00000M123;;MOD;2019-12-19;2020-12-30;M123;CT25;AUK;CT;Castletown;;N;Y;N;N;;N;;FX;FPO;NK;;;;;3.85;3.85;0.31;0.00;0.00;5.20;0.00;5;1989-01-01;MFL;;;PA;1975-01-01
GBR;GBR00000M124;8572047;MOD;2019-03-07;2020-12-30;M124;PL19;SILVER VIKING;PL;Peel;VQGZ5;Y;Y;Y;Y;;N;;FX;DRB;DRB;NK;;;;14.60;13.60;34.77;0.00;0.00;127.00;0.00;1;1989-01-01;MFL;;;PA;1973-01-01
GBR;GBR00000M126;8576275;MOD;2019-06-20;2020-12-30;M126;PL39;VENTURE AGAIN;PL;Peel;MLRK5;Y;Y;Y;Y;;N;;FX;DRB;OTB;NK;;;;15.39;14.25;38.19;0.00;0.00;134.00;0.00;1;1989-01-01;MFL;;;PA;1966-01-01
GBR;GBR00000M132;;MOD;2020-04-02;2020-12-30;M132;PL4;JUNE ROSE;PL;Peel;2EMT6;Y;Y;N;N;;N;;FX;DRB;NK;;;;;9.84;9.70;14.97;0.00;0.00;60.00;0.00;2;1989-01-01;MFL;;;PA;1995-01-01
GBR;GBR00000M139;;MOD;2019-03-07;2020-12-30;M139;RY56;ANZAC;RY;Ramsey;MYHF7;Y;Y;N;N;;N;;FX;HMD;NK;;;;;9.84;9.84;14.37;0.00;0.00;116.50;0.00;2;1989-01-01;MFL;;;PA;1978-01-01
GBR;GBR00000M141;;MOD;2020-03-18;2020-12-30;M141;PL40;MANX RANGER;PL;Peel;ZNVK6;Y;Y;N;N;;N;;FX;HMD;NK;;;;;9.96;9.23;12.59;0.00;0.00;124.00;0.00;5;2010-09-01;MFL;;;PA;2000-01-01
GBR;GBR00000M142;;MOD;2019-03-07;2020-12-30;M142;CT3;SHEARWATER;CT;Castletown;;N;Y;N;N;;N;;FX;FPO;NK;;;;;6.53;6.53;2.83;0.00;0.00;26.00;0.00;3;1989-01-01;MFL;;;PA;1977-01-01
GBR;GBR00000M143;;MOD;2019-03-19;2020-12-30;M143;PL8;TWO GIRLS;PL;Peel;2GBC6;Y;Y;Y;Y;;N;;FX;DRB;NK;OTB;;;;13.88;11.86;27.43;0.00;0.00;214.00;0.00;5;1989-01-01;MFL;;;PA;1991-01-01
GBR;GBR00000M144;;MOD;2017-02-28;2020-12-30;M144;DO33;OCEAN QUEST;DO;Douglas;;N;Y;N;;;;;FX;FPO;NO;;;;;5.80;0.00;1.65;0.00;0.00;62.00;0.00;4;2005-11-11;MFL;;;;1989-01-01
GBR;GBR00000M148;;MOD;2018-03-08;2020-12-30;M148;PL28;LYNAGUE;PL;Peel;;N;Y;N;N;;N;;FX;FPO;;;;;;6.96;6.50;1.65;0.00;0.00;21.00;0.00;3;2002-07-29;MFL;;;PA;2002-01-01
GBR;GBR00000M149;;MOD;2015-01-12;2020-12-30;M149;CT122;DEJA VU;CT;Castletown;;N;Y;N;;;;;FX;OTB;NO;;;;;6.97;0.00;1.70;0.00;0.00;88.26;0.00;4;2006-12-04;MFL;;;;2001-01-01
GBR;GBR00000M151;;MOD;2019-03-07;2020-12-30;M151;PL7;BEACHCOMBER;PL;Peel;MMZ7;Y;Y;N;N;;N;;FX;FPO;NK;;;;;8.13;7.81;2.66;0.00;0.00;63.00;0.00;5;2005-11-10;MFL;;;PA;1995-01-01
GBR;GBR00000M152;8571586;MOD;2015-01-21;2020-12-30;M152;PL80;CORAL STRAND II;PL;Peel;MLRK9;Y;Y;Y;;;;;FX;DRB;NO;;;;;16.52;0.00;46.00;0.00;0.00;221.00;0.00;1;2004-01-01;MFL;;;;1969-01-01
GBR;GBR00000M154;;MOD;2019-03-07;2020-12-30;M154;DO14;PREDATOR;DO;Douglas;;N;Y;N;N;;N;;FX;FPO;NK;;;;;6.92;6.92;1.83;0.00;0.00;72.00;0.00;5;2005-11-11;MFL;;;PA;2003-01-01
GBR;GBR00000M160;;MOD;2019-08-29;2020-08-11;M160;PL200;REGAL STAR;PL;Peel;2GIP7;Y;Y;N;N;;N;;FX;DRB;TBB;NK;OTB;;;9.90;9.90;16.48;0.00;0.00;216.00;0.00;5;1991-01-01;MFL;;;PA;1991-01-01
GBR;GBR00000M167;;MOD;2018-04-24;2020-12-30;M167;RY57;JAMES LEE;RY;Ramsey;MLFK6;Y;Y;Y;Y;;N;;FX;DRB;;;;;;13.15;11.52;17.46;0.00;0.00;90.00;0.00;5;2006-11-01;MFL;;;PA;1984-01-01
GBR;GBR00000M168;;MOD;2018-05-22;2020-12-30;M168;PL2;MANX CAT;PL;Peel;;N;Y;N;N;;N;;FX;FPO;NK;;;;;7.95;7.50;6.76;0.00;0.00;55.00;0.00;5;2006-11-10;MFL;;;PA;2006-01-01
GBR;GBR00000M173;;MOD;2012-06-13;2020-12-30;M173;CT140;MANX PRIDE;CT;Castletown;;N;Y;N;;;;;FX;OTB;NO;;;;;6.40;0.00;1.52;0.00;0.00;21.00;0.00;4;2010-09-10;MFL;;;;1990-01-01
GBR;GBR00000M177;;MOD;2010-09-10;2020-12-30;M177;PL144;PERSEVERE;PL;Peel;;N;N;N;;;;;FX;FPO;NO;;;;;9.95;0.00;8.22;0.00;0.00;94.00;0.00;4;2007-08-22;MFL;;;;1992-01-01
GBR;GBR00000M180;;MOD;2019-03-07;2020-12-30;M180;DO157;IVY LEE;DO;Douglas;;N;Y;N;N;;N;;FX;FPO;NK;;;;;5.85;5.85;1.61;0.00;0.00;7.00;0.00;5;2010-09-16;MFL;;;PA;1990-01-01
GBR;GBR00000M181;;MOD;2019-03-07;2020-12-30;M181;RY148;BOY DAVID;RY;Ramsey;MJSB;Y;Y;N;N;;N;;FX;FPO;GN;FPO;DRB;;;9.27;9.27;8.73;0.00;0.00;118.00;0.00;5;2008-07-04;MFL;;;PA;1976-01-01
GBR;GBR00000M184;;MOD;2012-01-20;2020-12-30;M184;CT151;ALWAYS OUT;CT;Castletown;;N;N;N;;;;;FX;OTB;NO;;;;;5.75;0.00;1.30;0.00;0.00;65.00;0.00;3;2009-04-27;MFL;;;;2002-01-01
GBR;GBR00000M192;;MOD;2013-09-26;2020-12-30;M192;DO159;AMELIA GRACE;DO;Douglas;;N;N;N;;;;;FX;OTB;NO;;;;;5.96;0.00;1.62;0.00;0.00;20.00;0.00;4;2011-04-21;MFL;;;;2001-01-01
GBR;GBR00000M194;;MOD;2018-10-01;2020-12-30;M194;RY161;RAMSEY JAK;RY;Ramsey;2FPY8;Y;Y;N;N;;N;;FX;FPO;LLS;OTB;HMD;;;9.98;9.38;8.11;0.00;0.00;82.00;0.00;5;2012-05-22;MFL;;;PA;2006-01-01
GBR;GBR00000M197;;MOD;2017-06-16;2020-12-30;M197;PL164;ENIGMA 1;PL;Peel;;N;Y;N;N;;N;;FX;FPO;GN;LL;FPO;;;9.96;9.54;9.53;0.00;0.00;146.00;0.00;5;2012-06-11;MFL;;;PA;2010-01-01
GBR;GBR00000M202;8575635;MOD;2017-03-23;2020-12-30;M202;RY169;SHANNON KIMBERLEY;RY;Ramsey;2HMK6;Y;Y;Y;Y;;N;;FX;DRB;NK;OTB;;;;17.83;15.88;51.52;0.00;0.00;221.00;0.00;2;1975-01-01;MFL;;;PA;1975-01-01
GBR;GBR00000M207;;MOD;2019-05-31;2020-12-30;M207;CT88;SHELGEYR;CT;Castletown;;N;Y;N;N;;N;;FX;FPO;NK;;;;;6.95;6.95;2.23;0.00;0.00;88.20;0.00;5;2016-07-12;MFL;;;PA;2016-01-01
GBR;GBR00000M208;;MOD;2019-03-07;2020-12-30;M208;PL175;TAYRIN;PL;Peel;;N;Y;N;N;;N;;FX;FPO;GN;LX;NK;;;6.95;6.95;2.25;0.00;0.00;44.74;0.00;5;2016-05-24;MFL;;;PA;2016-01-01
GBR;GBR00000M210;;MOD;2014-06-27;2020-12-30;M210;PL777;BOY SHAYNE;PL;Peel;;N;Y;N;N;;N;;FX;FPO;;;;;;7.95;7.95;7.09;0.00;0.00;58.88;0.00;5;2011-09-30;MFL;;;PA;2011-01-01
GBR;GBR00000M212;;MOD;2019-03-07;2020-12-30;M212;CT34;GLEE MAIDEN;CT;Castletown;;N;Y;N;N;;N;;FX;FPO;NK;;;;;6.00;5.47;1.77;0.00;0.00;18.64;0.00;5;2017-06-06;MFL;;;PA;1993-01-01
GBR;GBR00000M213;;MOD;2011-08-23;2020-12-30;M213;DO180;VAGABOND II;DO;Douglas;;N;Y;N;N;;N;;FX;FPO;GN;OTB;LHP;;;9.83;9.03;5.74;0.00;0.00;243.72;0.00;5;2011-08-03;MFL;;;PA;2011-01-01
GBR;GBR00000M216;;MOD;2018-01-12;2020-12-30;M216;DO118;MANX SHEARWATER;DO;Douglas;;N;Y;N;N;;N;;FX;FPO;;;;;;11.78;11.21;21.65;0.00;0.00;186.00;0.00;5;2017-08-22;MFL;;;PA;2017-01-01
GBR;GBR00000M219;;MOD;2018-06-06;2020-12-30;M219;PL165;FREE SPIRIT II;PL;Peel;;N;Y;N;N;;N;;FX;FPO;GN;LL;LHP;;;9.95;9.68;6.95;0.00;0.00;218.00;0.00;5;2018-03-19;MFL;;;PA;2007-01-01
GBR;GBR00000M220;8570635;MOD;2019-03-07;2020-12-30;M220;PL187;ALAUNA;PL;Peel;MLMR6;Y;Y;Y;Y;;N;;FX;OTB;NK;DRB;TBN;;;14.98;14.13;47.72;0.00;0.00;177.00;0.00;5;2018-04-18;MFL;;;PA;1973-01-01
GBR;GBR00000M221;;MOD;2019-03-07;2020-12-30;M221;PL5;CUSHLIN II;PL;Peel;;N;Y;N;N;;N;;FX;FPO;NK;;;;;4.87;4.87;0.75;0.00;0.00;11.25;0.00;5;2018-07-19;MFL;;;PA;2007-01-01
GBR;GBR00000M224;;MOD;2019-10-01;2020-12-30;M224;DO22;DYCOSA;DO;Douglas;;N;Y;N;N;;N;;FX;FPO;FPO;LHP;LL;;;7.90;7.90;4.23;0.00;0.00;58.80;0.00;5;2019-02-28;MFL;;;PA;2017-01-01
GBR;GBR00000M225;8576342;MOD;2019-09-25;2020-12-30;M225;PL6;ZEPHYR;PL;Peel;MLHZ4;Y;Y;Y;N;;N;;FX;TBN;OTB;NK;DRB;;;14.98;13.70;31.85;0.00;0.00;179.00;0.00;5;2019-08-13;MFL;;;PA;1974-01-01
GBR;GBR00000M227;;MOD;2019-10-01;2020-12-30;M227;PL9;LIAM JOSEPH;PL;Peel;;N;Y;N;N;;N;;FX;FPO;DRB;OTB;GN;;;9.95;9.95;13.35;0.00;0.00;108.00;0.00;5;2019-05-29;MFL;;;PA;2019-01-01
GBR;GBR00000M228;;MOD;2020-02-06;2020-12-30;M228;RY5;KARENZA;RY;Ramsey;;N;Y;N;N;;N;;FX;FPO;NK;;;;;4.95;4.95;1.36;0.00;0.00;15.00;0.00;5;2019-07-16;MFL;;;PA;2018-01-01
GBR;GBR00000M229;;MOD;2020-02-17;2020-12-30;M229;PL1;NEW DAWN;PL;Peel;;N;Y;N;N;;N;;FX;FPO;NK;LL;;;;9.83;9.03;16.39;0.00;0.00;167.10;0.00;5;2020-02-14;MFL;;;PA;2003-01-01
GBR;GBR00000M242;;MOD;2014-06-17;2020-12-30;M242;RY210;AOIFE ROSE;RY;Ramsey;;N;Y;N;N;;N;;FX;DRB;;;;;;9.95;9.31;11.67;0.00;0.00;201.00;0.00;5;2014-05-12;MFL;;;PA;2005-01-01
GBR;GBR0000M0581;;MOD;2019-03-07;2020-12-30;M0581;CT14;LIBRA;CT;Castletown;;N;Y;N;N;;N;;FX;FPO;NK;GN;;;;6.55;6.55;3.79;0.00;0.00;31.00;0.00;5;2007-07-17;MFL;;;PA;2006-01-01
GBR;GBR0000M1040;;MOD;2019-03-07;2020-12-30;M1040;DO18;MANX MAID;DO;Douglas;;N;Y;N;N;;N;;FX;FPO;GN;NK;;;;9.15;8.59;4.90;0.00;0.00;220.00;0.00;2;2007-02-15;MFL;;;PA;2006-01-01
GBR;GBR0000M1551;;MOD;2019-03-07;2020-12-30;M1551;CT58;NANCY ELLEN;CT;Castletown;;N;Y;N;N;;N;;FX;FPO;DRB;LL;LX;;;11.99;11.95;13.59;0.00;0.00;378.00;0.00;5;2017-12-12;MFL;;;PA;2017-01-01
GBR;GBR000307310;;MOD;2016-03-30;2020-12-30;307310;CT81;HEATHER MAID;CT;Castletown;MOPX;Y;Y;Y;;;;;FX;DRB;NO;;;;;16.65;0.00;46.32;0.00;0.00;179.00;0.00;1;1989-01-01;MFL;;;;1965-01-01
GBR;GBR000308762;8575661;MOD;2019-03-07;2020-12-30;308762;CT77;SPAVEN MOR;CT;Castletown;MZDP;Y;Y;Y;Y;;N;;FX;DRB;NK;OTB;;;;17.85;16.10;55.87;0.00;0.00;149.00;0.00;1;1989-01-01;MFL;;;PA;1965-01-01
GBR;GBR000334150;8561555;MOD;2019-03-07;2020-12-22;334150;CT20;FRIENDLY SHORE;CT;Castletown;MREP;Y;Y;Y;Y;;N;;FX;DRB;NK;;;;;13.40;12.76;27.97;0.00;0.00;127.00;0.00;1;1989-01-01;MFL;;;PA;1970-01-01
GBR;GBR000376599;;MOD;2019-03-07;2020-12-30;376599;CT133;YN DREAN;CT;Castletown;;N;Y;N;N;;N;;FX;FPO;NK;;;;;6.53;6.52;3.12;0.00;0.00;17.00;0.00;3;1989-01-01;MFL;;;PA;1978-01-01
GBR;GBR000387037;8575594;MOD;2019-03-07;2020-12-30;387037;CT137;FREY;CT;Castletown;MLRJ4;Y;Y;Y;Y;;N;;FX;DRB;OTB;NK;;;;15.94;14.40;42.74;0.00;0.00;186.50;0.00;1;1972-01-01;MFL;;;PA;1972-01-01
GBR;GBR000387041;;MOD;2019-03-07;2020-12-30;387041;CT139;S'AALIN MADRAN;CT;Castletown;2EIP4;Y;Y;N;N;;N;;FX;DRB;NK;OTB;;;;9.84;9.27;7.25;0.00;0.00;81.00;0.00;3;1989-01-01;MFL;;;PA;1980-01-01
GBR;GBR000387711;8575609;MOD;2015-01-23;2020-12-30;387711;PL25;PETER M;PL;Peel;MRHC;Y;Y;N;;;;;FX;DRB;NO;;;;;14.90;0.00;44.67;0.00;0.00;145.00;0.00;2;1989-01-01;MFL;;;;1970-01-01
GBR;GBR000A10048;;MOD;2018-10-05;2020-12-30;A10048;SN12;TRUSTFUL;SN;North Shields;2DNA9;Y;Y;N;N;;N;;TT;OTB;NK;;;;;11.43;10.67;20.81;0.00;0.00;82.00;0.00;1;1969-06-02;MFL;;;PA;1969-01-01
GBR;GBR000A10085;;MOD;2019-06-28;2020-12-30;A10085;BM115;LITTLE MAID;BM;Brixham;;N;Y;N;N;;N;;FX;LHP;FPO;OTB;NK;;;6.50;5.83;1.64;0.00;0.00;22.00;0.00;3;1988-04-04;MFL;;;PA;1988-01-01
