3alpha_code,name_en,scientific_name,genus,family,major_group,isscaap_group,name_no_nei,fao_group,match_category,species
brd,bearded brotula,brotula barbata,brotula,ophidiidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,bearded brotula
obk,NA,NA,NA,NA,NA,NA,NA,NA,NA,brotula clarkae
wbm,NA,NA,NA,NA,NA,NA,NA,NA,NA,goatsbeard brotula
wiy,NA,NA,NA,NA,NA,NA,NA,NA,NA,ordway's brotula
obv,NA,NA,NA,NA,NA,NA,NA,NA,NA,brotulotaenia brevicauda
ocl,NA,NA,NA,NA,NA,NA,NA,NA,NA,black brotula
ocy,NA,NA,NA,NA,NA,NA,NA,NA,NA,spotted cusk-eel
odt,NA,NA,NA,NA,NA,NA,NA,NA,NA,australian tusk
odi,NA,NA,NA,NA,NA,NA,NA,NA,NA,digitate cusk eel
oef,NA,NA,NA,NA,NA,NA,NA,NA,NA,epetriodus freddyi
cus,pink cusk-eel,genypterus blacodes,genypterus,ophidiidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,pink cusk-eel
kcp,kingklip,genypterus capensis,genypterus,ophidiidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,kingklip
cuc,red cusk-eel,genypterus chilensis,genypterus,ophidiidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,red cusk-eel
cub,black cusk-eel,genypterus maculatus,genypterus,ophidiidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,black cusk-eel
gvt,NA,NA,NA,NA,NA,NA,NA,NA,NA,rock ling
cex,cusk-eels nei,genypterus spp,genypterus,ophidiidae,pisces,miscellaneous demersal fishes,cusk-eels,yes,en_name,cusk-eels nei
ogj,NA,NA,NA,NA,NA,NA,NA,NA,NA,glyptophidium japonicum
ohe,NA,NA,NA,NA,NA,NA,NA,NA,NA,holcomycteronus aequatoris
ohr,NA,NA,NA,NA,NA,NA,NA,NA,NA,homostolus acer
kwr,NA,NA,NA,NA,NA,NA,NA,NA,NA,armoured cusk
ohg,NA,NA,NA,NA,NA,NA,NA,NA,NA,false kinglip
ohn,NA,NA,NA,NA,NA,NA,NA,NA,NA,hypopleuron caninum
olb,NA,NA,NA,NA,NA,NA,NA,NA,NA,lamprogrammus brunswigi
ofz,NA,NA,NA,NA,NA,NA,NA,NA,NA,legless cuskeel
ola,NA,NA,NA,NA,NA,NA,NA,NA,NA,lepophidium aporrhox
lpw,NA,NA,NA,NA,NA,NA,NA,NA,NA,shortbeard cusk-eel
nvi,NA,NA,NA,NA,NA,NA,NA,NA,NA,silver cusk eel
dgq,NA,NA,NA,NA,NA,NA,NA,NA,NA,specklefin cusk-eel
owa,NA,NA,NA,NA,NA,NA,NA,NA,NA,blackrim cusk-eel
olr,NA,NA,NA,NA,NA,NA,NA,NA,NA,luciobrotula bartschi
