Country (Country),ASFIS species (ASFIS species),FAO major fishing area (FAO major fishing area),Detailed production source (Detailed production source),Unit (Unit),2022,2023
Spain,Soles nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0755939524838013,0.0512958963282937
Spain,Thickback soles nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.89,0.06
Spain,Turbot,"Atlantic, Northeast",Capture production,Tonnes - live weight,8.40034557235421,9.76442764578834
Spain,Witch flounder,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,NA
Spain,Portuguese sole,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0
Spain,Topknot,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00809935205183585,0
Spain,Blue antimora,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00269978401727862
Spain,Pouting(=Bib),"Atlantic, Northeast",Capture production,Tonnes - live weight,381.500539956803,304.434190064795
Spain,Blue ling,"Atlantic, Northeast",Capture production,Tonnes - live weight,15.5221598272138,18.3110151187905
Spain,Atlantic cod,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,0.0107991360691145
Spain,Gadiformes nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.248380129589633,0.0188984881209503
Spain,Silvery pout,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,NA
Spain,Shore rockling,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.259179265658747,0.383369330453564
Spain,Three-Bearded rockling,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.116090712742981,0.00539956803455724
Spain,Haddock,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00539956803455724
Spain,European hake,"Atlantic, Northeast",Capture production,Tonnes - live weight,4178.6217062635,4083.30129589633
Spain,White hake,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0296976241900648,0.0161987041036717
Spain,Fivebeard rockling,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0485961123110151,0.0161987041036717
Spain,Ling,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.33406047516199,2.20436285097192
Spain,Moras nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00809935205183585
Spain,Norway pout,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0161987041036717,0.0269978401727862
Spain,Poor cod,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.58585313174946,0.294276457883369
Spain,Saithe(=Pollock),"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0323974082073434,0.0161987041036717
Spain,Pollack,"Atlantic, Northeast",Capture production,Tonnes - live weight,50.7493952483801,46.7607991360691
Spain,Tadpole fish,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00539956803455724
Spain,Roughhead grenadier,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,NA
Spain,Common mora,"Atlantic, Northeast",Capture production,Tonnes - live weight,1.58568034557235,0.909935205183585
Spain,Rocklings nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0107991360691145,0.0558963282937365
Spain,Spanish ling,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.591252699784017,0.398768898488121
Spain,Blue whiting(=poutassou),"Atlantic, Northeast",Capture production,Tonnes - live weight,3816.10069114471,4899.36842332613
Spain,Whiting,"Atlantic, Northeast",Capture production,Tonnes - live weight,13.39,5.20269978401728
Spain,Annular seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0134989200863931,0.0161987041036717
Spain,Daggertooth,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00269978401727862
Spain,Combers nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0188984881209503,0.0296976241900648
Spain,Combtooth blennies,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,0
Spain,Bogue,"Atlantic, Northeast",Capture production,Tonnes - live weight,711.386933045356,197.667624190065
Spain,Black seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,24.0982937365011,15.316090712743
Spain,Bluespotted seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0.00539956803455724
Spain,European seabass,"Atlantic, Northeast",Capture production,Tonnes - live weight,83.8159611231102,75.7569330453564
Spain,"Groupers, seabasses nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.159697624190065,0.385896328293737
Spain,Brown meagre,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0728941684665227,0.134989200863931
Spain,Comber,"Atlantic, Northeast",Capture production,Tonnes - live weight,5.96185745140389,5.26727861771058
Spain,"Croakers, drums nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.0134989200863931,0.0323974082073434
Spain,Shi drum,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.583261339092873,1.1414686825054
Spain,Rainbow wrasse,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.356371490280778,0.658747300215983
Spain,Common two-banded seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,1.43924406047516,1.35431965442765
Spain,Common dentex,"Atlantic, Northeast",Capture production,Tonnes - live weight,1.47408207343413,1.4011879049676
Spain,Large-Eye dentex,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0323974082073434,0.0323974082073434
Spain,Dentex nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0188984881209503,0.00539956803455724
Spain,Flying gurnard,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Rubberlip grunt,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0269978401727862,0.0134989200863931
Spain,Red-Mouthed goby,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00809935205183585
Spain,Gobies nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.110691144708423,0.0512958963282937
Spain,Dusky grouper,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.670647948164147,1.06481641468683
Spain,White grouper,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0
Spain,"Grunts, sweetlips nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.264578833693305,0.0161987041036717
Spain,Dragonet,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0.0161987041036717
Spain,Leaping mullet,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0242980561555076,0.00539956803455724
Spain,Golden grey mullet,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0107991360691145,0.00539956803455724
Spain,Thinlip grey mullet,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0647948164146868,0.0134989200863931
Spain,Meagre,"Atlantic, Northeast",Capture production,Tonnes - live weight,1.2651403887689,1.37984881209503
Spain,Mugil spp,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,0.0188984881209503
Spain,Thicklip grey mullet,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0971922246220302,0.0323974082073434
Spain,Mediterranean moray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0580993520518359,0.0107991360691145
Spain,"Morays eels, etc. nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.0153995680345572,NA
Spain,Mullets nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.197084233261339,0.0612958963282937
Spain,"Goatfishes, red mullets nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,NA
Spain,Surmullet,"Atlantic, Northeast",Capture production,Tonnes - live weight,28.4284881209503,30.7785529157667
Spain,Red mullet,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.367170626349892,0.907127429805615
Spain,Surmullets(=Red mullets) nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,66.2055723542117,144.696760259179
Spain,Highfin lizardfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,NA
Spain,Cardinal fish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0863930885529158,NA
Spain,Common pandora,"Atlantic, Northeast",Capture production,Tonnes - live weight,24.8850107991361,25.4192656587473
Spain,Pandoras nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0107991360691145,0.00269978401727862
Spain,Percoids nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.196285097192225,0.221382289416847
Spain,Red porgy,"Atlantic, Northeast",Capture production,Tonnes - live weight,6.37319654427646,4.302656587473
Spain,Sandeels(=Sandlances) nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.615550755939525,0.602051835853132
Spain,Axillary seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,33.8819006479482,30.1112958963283
Spain,Gilthead seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,3.4107343412527,1.5033909287257
Spain,Pargo breams nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0.00269978401727862
Spain,Blackspot seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,20.3803023758099,16.7858315334773
Spain,Saddled seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,38.9295896328294,46.9549892008639
Spain,"Porgies, seabreams nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.134989200863931,0.0134989200863931
Spain,Zebra seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0809935205183585,0.0890928725701944
Spain,Black-Striped pipefish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0.00809935205183585
Spain,Salema,"Atlantic, Northeast",Capture production,Tonnes - live weight,104.430345572354,46.9001943844492
Spain,Spotted seabass,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0161987041036717,0.0269978401727862
Spain,Sargo breams nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,1.78056155507559,1.04211663066955
Spain,Brown comber,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.205183585313175,0.0107991360691145
Spain,Painted comber,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0593952483801296,0.0107991360691145
Spain,Sand steenbras,"Atlantic, Northeast",Capture production,Tonnes - live weight,1.22831533477322,2.85617710583153
Spain,Broadnosed pipefish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0134989200863931,NA
Spain,White seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,62.6637365010799,32.8154859611231
Spain,Lesser weever,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0188984881209503,0.035097192224622
Spain,Weeverfishes nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,4.50969762419007,0.0942980561555076
Spain,Grey triggerfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,1.40928725701944,1.8782505399568
Spain,"Triggerfishes, durgons nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0,0.00809935205183585
Spain,Drums nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0269978401727862,0.00539956803455724
Spain,Canary drum(=baardman),"Atlantic, Northeast",Capture production,Tonnes - live weight,2.73848812095032,1.39414686825054
Spain,Ballan wrasse,"Atlantic, Northeast",Capture production,Tonnes - live weight,26.7486609071274,21.2877969762419
Spain,Cuckoo wrasse,"Atlantic, Northeast",Capture production,Tonnes - live weight,1.62308855291577,2.29304535637149
Spain,Greater weever,"Atlantic, Northeast",Capture production,Tonnes - live weight,85.5038660907127,75.0003887688985
Spain,Weevers nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.0323974082073434
Spain,"Wrasses, hogfishes, etc. nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.372570194384449,0.110691144708423
Spain,Blacktail comber,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0.00809935205183585
Spain,Blackbellied angler,"Atlantic, Northeast",Capture production,Tonnes - live weight,278.420064794816,605.297192224622
Spain,Argentines,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.89,NA
Spain,Greater argentine,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0
Spain,Argentine,"Atlantic, Northeast",Capture production,Tonnes - live weight,15.9363066954644,16.9459611231102
Spain,Black scorpionfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,11.7089632829374,13.5421166306695
Spain,Elongate frostfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.437365010799136,1.15820734341253
Spain,Boarfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.83477321814255,8.5041252699784
Spain,Boarfishes nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0512958963282937,NA
Spain,Bristlemouths,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00809935205183585,0.0215982721382289
Spain,"Alfonsinos, etc. nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.0207991360691145,0.00539956803455724
Spain,Alfonsino,"Atlantic, Northeast",Capture production,Tonnes - live weight,7.30606911447084,6.83550755939525
Spain,Splendid alfonsino,"Atlantic, Northeast",Capture production,Tonnes - live weight,5.46157667386609,2.13278617710583
Spain,Wolffishes(=Catfishes) nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0.0242980561555076
Spain,Red bandfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,4.40844492440605,11.3551403887689
Spain,Kroyer's deep-sea angler fish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,NA
Spain,Rudderfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.877429805615551
Spain,European conger,"Atlantic, Northeast",Capture production,Tonnes - live weight,275.417192224622,219.156090712743
Spain,"Conger eels, etc. nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0,0.0188984881209503
Spain,Streaked gurnard,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.432267818574514,0.457473002159827
Spain,"Hairtails, scabbardfishes nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.0269978401727862,0.0863930885529158
Spain,Demersal percomorphs nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.170086393088553,0.174686825053996
Spain,Black cardinal fish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0539956803455724,0.0890928725701944
Spain,Eustomias obscurus,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,NA
Spain,"Snake mackerels, escolars nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.0647948164146868,0.296997840172786
Spain,Grey gurnard,"Atlantic, Northeast",Capture production,Tonnes - live weight,105.655075593952,128.665939524838
Spain,Indo-Pacific gurnards,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,0.00269978401727862
Spain,Longfin gurnard,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0.0107991360691145
Spain,Piper gurnard,"Atlantic, Northeast",Capture production,Tonnes - live weight,3.27388768898488,3.95861771058315
Spain,Red gurnard,"Atlantic, Northeast",Capture production,Tonnes - live weight,18.8834557235421,20.3290928725702
Spain,Tub gurnard,"Atlantic, Northeast",Capture production,Tonnes - live weight,12.7279913606911,13.4339740820734
Spain,"Gurnards, searobins nei","Atlantic, Northeast",Capture production,Tonnes - live weight,5.7360475161987,0.727084233261339
Spain,Gurnards nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,27.4456371490281,25.4590064794816
Spain,Mediterranean slimehead,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.218682505399568,0.135291576673866
Spain,Pelagic basslet,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Anomalous lanternfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0
Spain,John dory,"Atlantic, Northeast",Capture production,Tonnes - live weight,39.0142980561555,36.4330885529158
Spain,Silvery john dory,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,0.00809935205183585
Spain,Large-Scaled gurnard,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0161987041036717,0.00269978401727862
Spain,Escolar,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.107991360691145,0.125097192224622
Spain,Largehead hairtail,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0647948164146868,0.143088552915767
Spain,Montagus seasnail,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,NA
Spain,Madeira lantern fish,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Monkfishes nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,16.5579265658747,24.6946004319654
Spain,Angler(=Monk),"Atlantic, Northeast",Capture production,Tonnes - live weight,218.189481641469,279.985097192225
Spain,Oilfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0.00809935205183585
Spain,"Cusk-Eels, brotulas nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.529157667386609,NA
Spain,Orange roughy,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,NA
Spain,Offshore rockfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0134989200863931,0.00269978401727862
Spain,Atlantic redfishes nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.107991360691145,0.045097192224622
Spain,Golden redfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Abyssal smooth-head,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,NA
Spain,Rhodichthys regina,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00269978401727862
Spain,Red scorpionfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,13.5815334773218,13.9101943844492
Spain,Boa dragonfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0.00539956803455724
Spain,"Scorpionfishes, redfishes nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.437365010799136,0.0593952483801296
Spain,"Scorpionfishes, rockfishes nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.148488120950324,0.132289416846652
Spain,Small red scorpionfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0539956803455724,0.177796976241901
Spain,Hairtails nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,NA
Spain,Atlantic thornyhead,"Atlantic, Northeast",Capture production,Tonnes - live weight,1.59827213822894,1.9438444924406
Spain,Threelight dragonfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Slimeheads nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0.0107991360691145
Spain,Grammicolepidids nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,NA
Spain,"Scorpionfishes, gurnards nei","Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,European anchovy,"Atlantic, Northeast",Capture production,Tonnes - live weight,6964.47742980562,9440.86410367171
Spain,Clupeoids nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0836933045356372,0.0971922246220302
Spain,Atlantic herring,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,European pilchard(=sardine),"Atlantic, Northeast",Capture production,Tonnes - live weight,4643.04412526998,4594.33151187905
Spain,Sardinellas nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0107991360691145,0.00539956803455724
Spain,European sprat,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00809935205183585,0
Spain,Albacore,"Atlantic, Northeast",Capture production,Tonnes - live weight,3320.20572354212,5702.51444924406
Spain,Bigeye tuna,"Atlantic, Northeast",Capture production,Tonnes - live weight,19.2570842332613,133.015831533477
Spain,"Marlins,Sailfishes,Etc. nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.172786177105832,0.132095032397408
Spain,Bullet tuna,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.361771058315335,1.902656587473
Spain,Atlantic bonito,"Atlantic, Northeast",Capture production,Tonnes - live weight,60.7042332613391,72.5989416846652
Spain,Blue marlin,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.251079913606911,0.0188984881209503
Spain,Little tunny(=atl.black skipj),"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0512958963282937,0.0377969762419007
Spain,Roundscale spearfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Atlantic sailfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0804967602591793,0.0623974082073434
Spain,Skipjack tuna,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.492462203023758,7.85997840172786
Spain,Swordfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,10.0479265658747,21.8005615550756
Spain,Tunas nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.01,0.00809935205183585
Spain,Jellynose,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,NA
Spain,Greater amberjack,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0226997840172786,0.00539956803455724
Spain,Big-Scale sand smelt,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.267278617710583,0.221382289416847
Spain,Sand smelt,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.44600431965443,3.56911447084233
Spain,Barracudas nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00809935205183585,0.00269978401727862
Spain,Blue butterfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0161987041036717,0.0107991360691145
Spain,Bluefish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,0
Spain,"Butterfishes, pomfrets nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,0.00269978401727862
Spain,Capelin,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0
Spain,Carangids nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.170993520518359,0.454665226781858
Spain,Crevalle jack,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.126889848812095,0.0296976241900648
Spain,Garfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,8.75291576673866,4.16868250539957
Spain,Mediterranean horse mackerel,"Atlantic, Northeast",Capture production,Tonnes - live weight,113.808358531317,128.236803455724
Spain,False scad,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,NA
Spain,Atlantic horse mackerel,"Atlantic, Northeast",Capture production,Tonnes - live weight,4220.99250539957,473.856090712743
Spain,Blue jack mackerel,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.988120950323974,0.19438444924406
Spain,Jack and horse mackerels nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,89.0073002159827,12.8635853131749
Spain,Leerfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0.00809935205183585
Spain,Tapertail,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00269978401727862
Spain,Atlantic mackerel,"Atlantic, Northeast",Capture production,Tonnes - live weight,8630.97613390929,7518.16010799136
Spain,Mackerels nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.647948164146868,0.0215982721382289
Spain,Scomber mackerels nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.0323974082073434
Spain,Pilotfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,0.00809935205183585
Spain,Atlantic pomfret,"Atlantic, Northeast",Capture production,Tonnes - live weight,6.67155507559395,19.9749676025918
Spain,Pompanos nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0134989200863931,0.0126997840172786
Spain,Pelagic percomorphs nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Atlantic saury,"Atlantic, Northeast",Capture production,Tonnes - live weight,56.0816198704104,1.97354211663067
Spain,Sauries nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0.0188984881209503
Spain,Silversides(=Sand smelts) nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,5.87928725701944,3.65848812095032
Spain,Big-Scale pomfret,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0
Spain,"Jacks, crevalles nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0,NA
Spain,Dealfishes,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Vadigo,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.305075593952484,0.288876889848812
Spain,Atlantic chub mackerel,"Atlantic, Northeast",Capture production,Tonnes - live weight,261.430151187905,832.750194384449
Spain,European barracuda,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Angelshark,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0.00269978401727862
Spain,Bathyraja rays nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00269978401727862
Spain,Blue shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,281.727753779698,281.228552915767
Spain,Sand tiger shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0.00539956803455724
Spain,Dogfishes and hounds nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00269978401727862
Spain,Picked dogfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00269978401727862,0.00269978401727862
Spain,Dogfish sharks nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0728941684665227,0.0863930885529158
Spain,Eagle rays nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,0
Spain,Tope shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,16.22343412527,9.96399568034557
Spain,Crest-Tail catsharks nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,1.20950323974082,1.82775377969762
Spain,Gulper shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0215982721382289,NA
Spain,"Chimaeras, etc. nei","Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Sharpnose sevengill shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00809935205183585
Spain,Norwegian skate,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0
Spain,Rough ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,NA
Spain,Common stingray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0377969762419007,NA
Spain,Mediterranean starry ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.70788336933045,2.44600431965443
Spain,Mako sharks,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0134989200863931,0.00539956803455724
Spain,Common eagle ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0512958963282937,NA
Spain,Longnose spurdog,"Atlantic, Northeast",Capture production,Tonnes - live weight,20.8612311015119,0.0296976241900648
Spain,Rays and skates nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.0701943844492441,0.056695464362851
Spain,Thornback ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,159.49524838013,188.06090712743
Spain,Small-Eyed ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.159892008639309,0.709460043196544
Spain,Arctic skate,"Atlantic, Northeast",Capture production,Tonnes - live weight,0,NA
Spain,Blonde ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.31371490280778,6.72246220302376
Spain,Sandy ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.143498920086393,1.12399568034557
Spain,Sailray,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.00269978401727862
Spain,Spotted ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,16.9303455723542,21.2780993520518
Spain,Cuckoo ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,93.7890496760259,96.3519222462203
Spain,Longnosed skate,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,1.43
Spain,Undulate ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.76997840172786,3.27753779697624
Spain,Rajella kukujevi,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00539956803455724,0.00269978401727862
Spain,Requiem sharks nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.23488120950324,0.0593952483801296
Spain,Kitefin shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.00809935205183585,NA
Spain,"Catsharks, nursehounds nei","Atlantic, Northeast",Capture production,Tonnes - live weight,9.68,0
Spain,Starry smooth-hound,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.03,NA
Spain,Smooth-Hounds nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.632699784017279,0.0207991360691145
