Country (Country),ASFIS species (ASFIS species),FAO major fishing area (FAO major fishing area),Detailed production source (Detailed production source),Unit (Unit),2022,2023
France,Golden grey mullet,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.897,6.201
France,Thinlip grey mullet,"Atlantic, Northeast",Capture production,Tonnes - live weight,46.483,27.648
France,Meagre,"Atlantic, Northeast",Capture production,Tonnes - live weight,815.334857451404,525.879
France,Mugil spp,"Atlantic, Northeast",Capture production,Tonnes - live weight,4.961,4.021
France,Thicklip grey mullet,"Atlantic, Northeast",Capture production,Tonnes - live weight,55.463,42.646
France,Mediterranean moray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.08,NA
France,Surmullet,"Atlantic, Northeast",Capture production,Tonnes - live weight,198.861095032397,274.680639308855
France,Boxlip mullet,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.493,0.998
France,Common pandora,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.55309935205184,2.563
France,Percoids nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.045,NA
France,Red porgy,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.602,0.548
France,Sandeels(=Sandlances) nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.012,0.029
France,Axillary seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,21.227,10.366
France,Gilthead seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,40.8873693304536,36.053
France,Blackspot seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.412,0.347
France,Saddled seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,3.665,2.37144924406048
France,"Porgies, seabreams nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.015,NA
France,Zebra seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.048,0.094
France,Sharpsnout seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.218,0.199
France,Salema,"Atlantic, Northeast",Capture production,Tonnes - live weight,10.761,5.999
France,Picarel,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.016
France,Spotted seabass,"Atlantic, Northeast",Capture production,Tonnes - live weight,52.962,41.367
France,Sargo breams nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.078
France,Sand steenbras,"Atlantic, Northeast",Capture production,Tonnes - live weight,58.835,54.1430345572354
France,White seabream,"Atlantic, Northeast",Capture production,Tonnes - live weight,94.274,80.924
France,"Triggerfishes, durgons nei","Atlantic, Northeast",Capture production,Tonnes - live weight,7.988,10.318
France,Canary drum(=baardman),"Atlantic, Northeast",Capture production,Tonnes - live weight,77.9397192224622,83.426
France,Ballan wrasse,"Atlantic, Northeast",Capture production,Tonnes - live weight,14.385,12.534
France,Greater weever,"Atlantic, Northeast",Capture production,Tonnes - live weight,121.927,139.135479481641
France,American angler,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.071
France,Boarfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,4.842,NA
France,European conger,"Atlantic, Northeast",Capture production,Tonnes - live weight,206.104483801296,181.497429805616
France,Black cardinal fish,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.014
France,Grey gurnard,"Atlantic, Northeast",Capture production,Tonnes - live weight,11.331747300216,9.64814686825054
France,Piper gurnard,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.72,0.32
France,Red gurnard,"Atlantic, Northeast",Capture production,Tonnes - live weight,36.685,19.8153196544276
France,Tub gurnard,"Atlantic, Northeast",Capture production,Tonnes - live weight,51.8205874730022,91.2888358531317
France,"Gurnards, searobins nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.453,0.787
France,John dory,"Atlantic, Northeast",Capture production,Tonnes - live weight,17.7346889848812,19.1246673866091
France,Pudgy cuskeel,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.012,0.038
France,Atlantic redfishes nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,3.79565442764579,2.16670194384449
France,Red scorpionfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.085,0.22
France,"Scorpionfishes, rockfishes nei","Atlantic, Northeast",Capture production,Tonnes - live weight,4.328,3.12423974082073
France,Atlantic thornyhead,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.031,NA
France,European anchovy,"Atlantic, Northeast",Capture production,Tonnes - live weight,22.9487429805616,1.84
France,"Herrings, sardines nei","Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.029
France,European pilchard(=sardine),"Atlantic, Northeast",Capture production,Tonnes - live weight,1479.49776457883,1221.19710151188
France,European sprat,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.225,NA
France,Albacore,"Atlantic, Northeast",Capture production,Tonnes - live weight,1066.15391576674,806.053863930886
France,Bigeye tuna,"Atlantic, Northeast",Capture production,Tonnes - live weight,11.4129006479482,26.0137580993521
France,"Marlins,Sailfishes,Etc. nei","Atlantic, Northeast",Capture production,Tonnes - live weight,0.0310475161987041,0.216438444924406
France,Black marlin,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.031,0.27917494600432
France,Atlantic bonito,"Atlantic, Northeast",Capture production,Tonnes - live weight,22.2443693304536,21.4030539956803
France,Little tunny(=atl.black skipj),"Atlantic, Northeast",Capture production,Tonnes - live weight,0.02,NA
France,Striped marlin,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.562,0.182369330453564
France,Skipjack tuna,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.11877969762419,14.2689157667387
France,Swordfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,12.4257796976242,42.6279719222462
France,Barracudas nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.31,0.23
France,Carangids nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.151,NA
France,Common dolphinfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.442198704103672
France,Garfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.644,0.302
France,Jack and horse mackerels nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,232.423855291577,678.701485961123
France,Leerfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.114
France,Atlantic mackerel,"Atlantic, Northeast",Capture production,Tonnes - live weight,842.441937365011,856.378056155508
France,Ocean sunfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.055,NA
France,Atlantic pomfret,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.0951403887689,11.781788336933
France,Silversides(=Sand smelts) nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.062,0.027
France,Atlantic chub mackerel,"Atlantic, Northeast",Capture production,Tonnes - live weight,95.5579848812095,88.7552159827214
France,Thresher,"Atlantic, Northeast",Capture production,Tonnes - live weight,13.78,11.9476738660907
France,Blue shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,20.1829330453564,23.4033995680346
France,Picked dogfish,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.173
France,Dogfish sharks nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.360479481641469,0.107
France,Tope shark,"Atlantic, Northeast",Capture production,Tonnes - live weight,4.80150971922246,5.72964578833693
France,Ratfishes nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.2,0.273
France,Common stingray,"Atlantic, Northeast",Capture production,Tonnes - live weight,1.492,1.751
France,Common eagle ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.294,0.433
France,Rays and skates nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,12.717,15.506
France,White skate,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.26,0.215
France,Thornback ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,59.2208596112311,73.672939524838
France,Small-Eyed ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,10.767,8.8776090712743
France,Blonde ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,3.086,7.215
France,Sandy ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,1.951,1.55
France,Spotted ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,2.334,1.94608855291577
France,Cuckoo ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,36.54,46.855
France,Starry ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.011,NA
France,Undulate ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,4.317,3.446
France,"Catsharks, nursehounds nei","Atlantic, Northeast",Capture production,Tonnes - live weight,1.324,0.681
France,Smooth-Hounds nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,17.5377796976242,24.892
France,Blackmouth catshark,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.301,0.023
France,Various sharks nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.027
France,Shortfin mako,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.057,0.0322397408207343
France,Small-Spotted catshark,"Atlantic, Northeast",Capture production,Tonnes - live weight,28.936,33.168
France,Nursehound,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.019,0.032
France,Marbled electric ray,"Atlantic, Northeast",Capture production,Tonnes - live weight,5.14,4.167
France,Marine fishes nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,33.1072073434125,25.7885269978402
France,Marine crabs nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.442,0.136
France,Edible crab,"Atlantic, Northeast",Capture production,Tonnes - live weight,42.313,29.8128164146868
France,Green crab,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.094,0.187
France,Velvet swimcrab,"Atlantic, Northeast",Capture production,Tonnes - live weight,1.112,0.883
France,Spinous spider crab,"Atlantic, Northeast",Capture production,Tonnes - live weight,37.47,72.1655507559395
France,European lobster,"Atlantic, Northeast",Capture production,Tonnes - live weight,14.5645291576674,9.84101943844492
France,Lobsters nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.024,NA
France,Royal spiny lobster,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.042,NA
France,Norway lobster,"Atlantic, Northeast",Capture production,Tonnes - live weight,98.458,103.65
France,Pink spiny lobster,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.492,0.74
France,Common spiny lobster,"Atlantic, Northeast",Capture production,Tonnes - live weight,3.299,4.66426781857451
France,Spiny lobsters nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.018,0.027
France,Common prawn,"Atlantic, Northeast",Capture production,Tonnes - live weight,9.108,10.024
France,Common shrimp,"Atlantic, Northeast",Capture production,Tonnes - live weight,35.605,21.4
France,Deep-Water rose shrimp,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.027,0.116
France,Delta prawn,"Atlantic, Northeast",Capture production,Tonnes - live weight,10.649,6.1
France,Marine crustaceans nei,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.336,0.111
France,Tuberculate abalone,"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.07
France,Whelk,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.891,2.602
France,Queen scallop,"Atlantic, Northeast",Capture production,Tonnes - live weight,0.84051403887689,11.442
France,Great atlantic scallop,"Atlantic, Northeast",Capture production,Tonnes - live weight,23.14,30.0409892008639
France,Variegated scallop,"Atlantic, Northeast",Capture production,Tonnes - live weight,6.874,NA
France,Northern quahog(=hard clam),"Atlantic, Northeast",Capture production,Tonnes - live weight,NA,0.052
