dataset,flag,geartype,hours,mmsi,shipName,vesselId,vesselType,value,activityDatasetId,flagTranslated
public-global-vessel-identity:v3.0,BEL,Trawler,694.274722222223,205333000,Z548 FLAMINGO,95577c2c0-0f01-00d2-6fae-a1cd9f65a019,FISHING,694.274722222223,public-global-fishing-effort:v3.0,Belgium
public-global-vessel-identity:v3.0,ESP,Other purse seines,678.9406747222222,224100920,SIEMPRE LANDERA,8ca21c13b-b788-6857-981b-16d398c7a7c5,FISHING,678.9406747222222,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Pole and line,678.8222222222222,224052460,F/V PEDRO JOSE BERRI,f1897ec8b-bcdf-7c1f-91d4-88cb2537e7f2,FISHING,678.8222222222222,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Set gillnet,676.9230555555556,224097640,URDAIBAI BAT,ee79357c3-3544-0beb-3178-e417be1cbaa6,FISHING,676.9230555555556,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Trawler,675.8363888888891,228083700,F/V LE BREIZH,6c45c3655-5395-91c1-4d43-4ee065f8c8ff,FISHING,675.8363888888891,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,FRA,Set gillnet,668.6521783333335,228018700,F/V PETIT GAEL 2,c37a22451-1d82-272d-6014-244bd4ef8a95,FISHING,668.6521783333335,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,FRA,Set gillnet,668.3494533333335,227855000,F/V VOLUNTAS DEI,8dc29c7d7-7a10-b062-188f-c7539408488c,FISHING,668.3494533333335,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,FRA,Set gillnet,667.0686111111111,227532000,F/V L`ESPOIR II,5ab85e64b-b29a-4f5d-8b4f-bb79538a57b7,FISHING,667.0686111111111,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,FRA,Set longline,666.2383333333333,227338000,F/V AGORRETA,388a365f5-5196-3a3e-c130-cbf6e641ca76,FISHING,666.2383333333333,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,ESP,Set longline,659.0908333333335,225988106,CARMINCHIN,4e0e1a6ad-d6ed-d833-4fb3-18c67b0f8f05,FISHING,659.0908333333335,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Set gillnet,654.7622222222222,228301900,F/V MAMMOUTH,6120ee016-6169-6c86-ad20-b7a5cb19fadf,FISHING,654.7622222222222,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,FRA,Trawler,651.3844444444444,228193000,Unknown vessel,d806191d7-7e2d-f068-985d-2586364c1519,FISHING,651.3844444444444,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,ESP,Other purse seines,647.2991666666666,224069850,TUKU TUKU,2a7e618e6-6236-512e-4270-deb4a2a052f4,FISHING,647.2991666666666,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Other purse seines,646.6601127777778,224134940,GURE IMANOL,1215aa5c9-9765-5759-3eb0-be8bf0e05455,FISHING,646.6601127777778,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Set gillnet,642.5800000000002,227426000,F/V MARE LIBERUM,92572b00e-e65a-a275-61ff-854fe8fef648,FISHING,642.5800000000002,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,ESP,Other purse seines,641.2003272222223,224033380,NUEVO AIRES ASON,5330526f9-9751-2aa3-f9bc-a9a7a380678c,FISHING,641.2003272222223,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Other purse seines,637.2571658333333,224074650,NUEVO TERRENO,148ce5ebd-d639-972f-c31a-e81cec13dc97,FISHING,637.2571658333333,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Other purse seines,635.4593577777778,224050560,MANUEL PADRE SEGUNDO,ff3e63db2-20da-dc68-2e40-37f3fe5c7d6d,FISHING,635.4593577777778,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Trawler,626.6650000000003,227416000,LE BATTANT,a86112eba-a94d-5692-f8db-6a4d050fe1cc,FISHING,626.6650000000003,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,ESP,Set gillnet,626.1486752777778,225988268,PLAYA BLANCA,23bcf9efc-c86d-205e-68c7-e206a23e32c0,FISHING,626.1486752777778,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Other purse seines,624.1875,224018260,NUEVO LIBE,6f852ccde-e8be-1b7c-84c7-f49b6e3c262f,FISHING,624.1875,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Fixed gear,622.5949011111111,224016730,CU-CA,dfcedd95f-fa2c-b30a-290a-3e16a9e56495,FISHING,622.5949011111111,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Set gillnet,620.311933888889,224041990,SIEMPRE TORROPI,dd01fe9e7-73d1-93a2-13e3-2c1f19be87cd,FISHING,620.311933888889,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,BEL,Trawler,614.6419444444446,205321000,Z333 AVATAR,f23e98814-4a88-9445-0634-091b625fe0c9,FISHING,614.6419444444446,public-global-fishing-effort:v3.0,Belgium
