"","FN","state","Organism","Bioassay","endpt","endpt_UV","n","diff","ctl_0","score"
"56","gamma60","n","medaka","Behavior","TPZ_LON","TPZ_LON_n",44,NA,0.94,NA
"57","alpha","u","medaka","Behavior","TPZ_LON","TPZ_LON_u",48,NA,0.73,NA
"58","beta33","u","medaka","Behavior","TPZ_LON","TPZ_LON_u",48,NA,0.83,NA
"59","beta95","u","medaka","Behavior","TPZ_LON","TPZ_LON_u",48,NA,0.92,NA
"60","delta35","u","medaka","Behavior","TPZ_LON","TPZ_LON_u",45,NA,0.93,NA
"61","delta60","u","medaka","Behavior","TPZ_LON","TPZ_LON_u",40,"*",0.67,1
"62","epsi","u","medaka","Behavior","TPZ_LON","TPZ_LON_u",38,NA,0.9,NA
"63","gamma33","u","medaka","Behavior","TPZ_LON","TPZ_LON_u",45,NA,0.96,NA
"64","gamma60","u","medaka","Behavior","TPZ_LON","TPZ_LON_u",48,NA,0.91,NA
"65","alpha","n","medaka","Behavior","VLSR","VLSR_n",37,NA,0.95,NA
"66","beta33","n","medaka","Behavior","VLSR","VLSR_n",37,NA,0.8,NA
"67","beta95","n","medaka","Behavior","VLSR","VLSR_n",36,NA,0.79,NA
"68","delta35","n","medaka","Behavior","VLSR","VLSR_n",39,NA,0.89,NA
"69","delta60","n","medaka","Behavior","VLSR","VLSR_n",38,NA,1,NA
"70","epsi","n","medaka","Behavior","VLSR","VLSR_n",40,NA,0.73,NA
"71","gamma33","n","medaka","Behavior","VLSR","VLSR_n",38,NA,0.84,NA
"72","gamma60","n","medaka","Behavior","VLSR","VLSR_n",35,NA,0.93,NA
"73","alpha","u","medaka","Behavior","VLSR","VLSR_u",48,NA,0.98,NA
"74","beta33","u","medaka","Behavior","VLSR","VLSR_u",48,"*",0.78,1
"75","beta95","u","medaka","Behavior","VLSR","VLSR_u",48,NA,1.05,NA
"76","delta35","u","medaka","Behavior","VLSR","VLSR_u",45,NA,0.96,NA
"77","delta60","u","medaka","Behavior","VLSR","VLSR_u",40,"***",0.24,3
"78","epsi","u","medaka","Behavior","VLSR","VLSR_u",38,NA,0.45,NA
"79","gamma33","u","medaka","Behavior","VLSR","VLSR_u",45,NA,0.92,NA
"80","gamma60","u","medaka","Behavior","VLSR","VLSR_u",48,NA,0.82,NA
"81","alpha","n","medaka","Behavior","ASD_LOFF2","ASD_LOFF2_n",16,NA,1.1,NA
"82","beta33","n","medaka","Behavior","ASD_LOFF2","ASD_LOFF2_n",15,NA,1.45,NA
"83","beta95","n","medaka","Behavior","ASD_LOFF2","ASD_LOFF2_n",15,"*",1.62,3
"84","delta35","n","medaka","Behavior","ASD_LOFF2","ASD_LOFF2_n",15,NA,1.18,NA
"85","delta60","n","medaka","Behavior","ASD_LOFF2","ASD_LOFF2_n",15,NA,1.12,NA
"86","epsi","n","medaka","Behavior","ASD_LOFF2","ASD_LOFF2_n",16,NA,1.08,NA
"87","gamma33","n","medaka","Behavior","ASD_LOFF2","ASD_LOFF2_n",15,NA,1.4,NA
"88","gamma60","n","medaka","Behavior","ASD_LOFF2","ASD_LOFF2_n",15,NA,1.05,NA
"89","alpha","u","medaka","Behavior","ASD_LOFF2","ASD_LOFF2_u",44,NA,1.11,NA
"90","beta33","u","medaka","Behavior","ASD_LOFF2","ASD_LOFF2_u",47,NA,1.21,NA
"91","beta95","u","medaka","Behavior","ASD_LOFF2","ASD_LOFF2_u",48,NA,1.4,NA
"92","delta35","u","medaka","Behavior","ASD_LOFF2","ASD_LOFF2_u",25,NA,1,NA
"93","delta60","u","medaka","Behavior","ASD_LOFF2","ASD_LOFF2_u",40,"***",0.29,3
"94","epsi","u","medaka","Behavior","ASD_LOFF2","ASD_LOFF2_u",41,"*",0.53,2
"95","gamma33","u","medaka","Behavior","ASD_LOFF2","ASD_LOFF2_u",45,NA,1.43,NA
"96","gamma60","u","medaka","Behavior","ASD_LOFF2","ASD_LOFF2_u",36,NA,1.39,NA
"97","alpha","n","medaka","Behavior","VLMR","VLMR_n",98,NA,1.19,NA
"98","beta33","n","medaka","Behavior","VLMR","VLMR_n",96,NA,1.26,NA
"99","beta95","n","medaka","Behavior","VLMR","VLMR_n",96,NA,1.04,NA
"100","delta35","n","medaka","Behavior","VLMR","VLMR_n",96,NA,1,NA
"101","delta60","n","medaka","Behavior","VLMR","VLMR_n",94,NA,1.11,NA
"102","epsi","n","medaka","Behavior","VLMR","VLMR_n",98,NA,1.29,NA
"103","gamma33","n","medaka","Behavior","VLMR","VLMR_n",94,NA,0.98,NA
"104","gamma60","n","medaka","Behavior","VLMR","VLMR_n",88,NA,1.03,NA
"105","alpha","u","medaka","Behavior","VLMR","VLMR_u",96,NA,0.99,NA
"106","beta33","u","medaka","Behavior","VLMR","VLMR_u",96,NA,0.92,NA
"107","beta95","u","medaka","Behavior","VLMR","VLMR_u",96,NA,1.2,NA
"108","delta35","u","medaka","Behavior","VLMR","VLMR_u",90,NA,0.93,NA
"109","delta60","u","medaka","Behavior","VLMR","VLMR_u",80,"***",0.24,3
"110","epsi","u","medaka","Behavior","VLMR","VLMR_u",76,"*",0.78,1
"111","gamma33","u","medaka","Behavior","VLMR","VLMR_u",90,NA,1.44,NA
"112","gamma60","u","medaka","Behavior","VLMR","VLMR_u",96,NA,1.18,NA
"113","alpha","n","medaka","Behavior","TPZ_LOFF2","TPZ_LOFF2_n",49,NA,1.08,NA
"114","beta33","n","medaka","Behavior","TPZ_LOFF2","TPZ_LOFF2_n",48,NA,1.04,NA
"115","beta95","n","medaka","Behavior","TPZ_LOFF2","TPZ_LOFF2_n",48,NA,1.05,NA
"116","delta35","n","medaka","Behavior","TPZ_LOFF2","TPZ_LOFF2_n",48,NA,1.02,NA
"117","delta60","n","medaka","Behavior","TPZ_LOFF2","TPZ_LOFF2_n",47,NA,0.99,NA
"118","epsi","n","medaka","Behavior","TPZ_LOFF2","TPZ_LOFF2_n",49,NA,1.05,NA
"119","gamma33","n","medaka","Behavior","TPZ_LOFF2","TPZ_LOFF2_n",47,NA,1.03,NA
"120","gamma60","n","medaka","Behavior","TPZ_LOFF2","TPZ_LOFF2_n",44,NA,0.98,NA
"121","alpha","u","medaka","Behavior","TPZ_LOFF2","TPZ_LOFF2_u",48,"*",0.85,0.5
"122","beta33","u","medaka","Behavior","TPZ_LOFF2","TPZ_LOFF2_u",48,"*",0.76,1
"123","beta95","u","medaka","Behavior","TPZ_LOFF2","TPZ_LOFF2_u",48,NA,0.89,NA
"124","delta35","u","medaka","Behavior","TPZ_LOFF2","TPZ_LOFF2_u",45,NA,0.8,NA
"125","delta60","u","medaka","Behavior","TPZ_LOFF2","TPZ_LOFF2_u",40,NA,0.82,NA
"126","epsi","u","medaka","Behavior","TPZ_LOFF2","TPZ_LOFF2_u",38,NA,0.85,NA
"127","gamma33","u","medaka","Behavior","TPZ_LOFF2","TPZ_LOFF2_u",45,NA,0.91,NA
"128","gamma60","u","medaka","Behavior","TPZ_LOFF2","TPZ_LOFF2_u",48,NA,0.83,NA
