year,iso3_code,fao_area_code,GFWCategory,total_catch_gfw_cat,total_catch_fishery,total_f_hours,total_hours,total_days,n_vessel,effort_type,effort,slope,slope_log,effort_moment
2023,BEL,27,trawlers,618.630259815287,325.4,4145.153611111112,5883,172.71473379629631,8,total_f_hours_length,156568.774975,253.08942214005003,2.4032739942210504,37.77152541592581
2023,BEL,27,trawlers,618.630259815287,325.4,4145.153611111112,5883,172.71473379629631,8,total_f_hours_tonnage,1606654.8636111112,2597.1165136520035,3.4144914336882404,387.59838943108457
2023,BEL,27,trawlers,618.630259815287,325.4,4145.153611111112,5883,172.71473379629631,8,total_f_hours_kw,4974184.333333334,8040.641812152133,3.905290715956327,1200
2023,ESP,27,drifting_longlines,4860.756290794818,3805.8034575687498,55258.99760916667,67865,2302.458233715278,80,total_f_hours_length,1404072.3270048,288.8588201107301,2.4606856329712103,25.408935879283572
2023,ESP,27,drifting_longlines,4860.756290794818,3805.8034575687498,55258.99760916667,67865,2302.458233715278,80,total_f_hours_tonnage,9271070.964546684,1907.3309604318188,3.280426058446187,167.77486682112286
2023,ESP,27,drifting_longlines,4860.756290794818,3805.8034575687498,55258.99760916667,67865,2302.458233715278,80,total_f_hours_kw,22922186.21611229,4715.7653757547505,3.6735521894362373,414.8136449784212
2023,ESP,27,pole_and_line,7039.173827820121,5838.072325701944,379.6424999999999,1478,15.818437499999998,2,total_f_hours_length,11130.093236111108,1.5811647088644003,0.19897711245281133,29.31730045005791
2023,ESP,27,pole_and_line,7039.173827820121,5838.072325701944,379.6424999999999,1478,15.818437499999998,2,total_f_hours_tonnage,43204.08722222221,6.13766448719758,0.7880031442226773,113.8020301262957
2023,ESP,27,pole_and_line,7039.173827820121,5838.072325701944,379.6424999999999,1478,15.818437499999998,2,total_f_hours_kw,157257.15302499998,22.34028550388833,1.3490887190021041,414.2243110953068
2023,ESP,27,pots_and_traps,434.52884092417236,362.4871594536887,7786.658323055556,15492,324.4440967939815,23,total_f_hours_length,151696.39934944446,349.10547945864954,2.5429566654282714,19.481579010637443
2023,ESP,27,pots_and_traps,434.52884092417236,362.4871594536887,7786.658323055556,15492,324.4440967939815,23,total_f_hours_tonnage,658170.893067239,1514.6771193999832,3.180320065044526,84.52546211234895
2023,ESP,27,pots_and_traps,434.52884092417236,362.4871594536887,7786.658323055556,15492,324.4440967939815,23,total_f_hours_kw,1988567.3783985032,4576.37604484237,3.660521703610573,255.38135820221416
2023,ESP,27,seiners,23325.03737377362,23325.03737377362,56955.80222,226357,2373.1584258333332,157,total_f_hours_length,1616889.4941461943,69.31991011359342,1.8408579908971061,28.388494782335354
2023,ESP,27,seiners,23325.03737377362,23325.03737377362,56955.80222,226357,2373.1584258333332,157,total_f_hours_tonnage,7669276.870278789,328.80019643192634,2.516932068324449,134.65312700987164
2023,ESP,27,seiners,23325.03737377362,23325.03737377362,56955.80222,226357,2373.1584258333332,157,total_f_hours_kw,29435098.391579457,1261.9528929319492,3.1010431435598194,516.8059661047727
2023,ESP,27,set_gillnets,711.7364504245452,585.6730428626832,38773.42984416667,74135,1615.5595768402775,131,total_f_hours_length,583232.5610000138,819.4501780147978,2.913522553915051,15.042067811490224
2023,ESP,27,set_gillnets,711.7364504245452,585.6730428626832,38773.42984416667,74135,1615.5595768402775,131,total_f_hours_tonnage,1433019.023431061,2013.4124402035002,3.303932747644318,36.95878928406572
2023,ESP,27,set_gillnets,711.7364504245452,585.6730428626832,38773.42984416667,74135,1615.5595768402775,131,total_f_hours_kw,4873794.676388761,6847.751964201891,3.8355480211595596,125.69934349313198
2023,ESP,27,trawlers,13122.767681966085,9555.488275287502,46361.48903138889,60349,1931.7287096412035,34,total_f_hours_length,1571019.0286118055,119.71704953451037,2.078156004971771,33.88629359053054
2023,ESP,27,trawlers,13122.767681966085,9555.488275287502,46361.48903138889,60349,1931.7287096412035,34,total_f_hours_tonnage,15282639.81613762,1164.5896800520009,3.0661729373121682,329.6408319799772
2023,ESP,27,trawlers,13122.767681966085,9555.488275287502,46361.48903138889,60349,1931.7287096412035,34,total_f_hours_kw,28199757.850983888,2148.9184701286226,3.3322199386906384,608.2582427818774
2023,FRA,27,dredge_fishing,72.81840202859277,61.8956409530978,279.59805555555556,275,11.649918981481482,1,total_f_hours_length,3338.400783333333,45.84556499911219,1.6612973293283297,11.94
2023,FRA,27,dredge_fishing,72.81840202859277,61.8956409530978,279.59805555555556,275,11.649918981481482,1,total_f_hours_tonnage,6553.778422222223,90.00167869172445,1.9542506098810326,23.44
2023,FRA,27,dredge_fishing,72.81840202859277,61.8956409530978,279.59805555555556,275,11.649918981481482,1,total_f_hours_kw,53403.22861111111,733.375453503386,2.865326369782707,191
2023,FRA,27,drifting_longlines,531.1953220143789,406.35717808414785,15830.193598055555,23250,659.5913999189814,23,total_f_hours_length,329232.70759525,619.7959468971717,2.7922487318807594,20.797768868454654
2023,FRA,27,drifting_longlines,531.1953220143789,406.35717808414785,15830.193598055555,23250,659.5913999189814,23,total_f_hours_tonnage,2499025.6353097996,4704.532460551589,3.672516469444085,157.86450240360662
2023,FRA,27,drifting_longlines,531.1953220143789,406.35717808414785,15830.193598055555,23250,659.5913999189814,23,total_f_hours_kw,6573972.743770277,12375.810688318385,4.09257365737784,415.28062831636925
2023,FRA,27,pots_and_traps,143.3532905173188,119.55664249033589,9679.260378611112,12730,403.30251577546295,15,total_f_hours_length,158330.41138152502,1104.4769939368555,3.0431566740233587,16.357697302099442
