year,iso3_code,fao_area_code,GFWCategory,total_catch_gfw_cat,total_catch_fishery,total_f_hours_length,total_f_hours_tonnage,total_f_hours_kw,total_f_hours,total_hours,total_days,n_vessel
2023,BEL,27,trawlers,618.630259815287,325.4,156568.774975,1606654.8636111112,4974184.333333334,4145.153611111112,5883,172.71473379629631,8
2023,ESP,27,drifting_longlines,4860.756290794818,3805.8034575687498,1404072.3270048,9271070.964546684,22922186.21611229,55258.99760916667,67865,2302.458233715278,80
2023,ESP,27,pole_and_line,7039.173827820121,5838.072325701944,11130.093236111108,43204.08722222221,157257.15302499998,379.6424999999999,1478,15.818437499999998,2
2023,ESP,27,pots_and_traps,434.52884092417236,362.4871594536887,151696.39934944446,658170.893067239,1988567.3783985032,7786.658323055556,15492,324.4440967939815,23
2023,ESP,27,seiners,23325.03737377362,23325.03737377362,1616889.4941461943,7669276.870278789,29435098.391579457,56955.80222,226357,2373.1584258333332,157
2023,ESP,27,set_gillnets,711.7364504245452,585.6730428626832,583232.5610000138,1433019.023431061,4873794.676388761,38773.42984416667,74135,1615.5595768402775,131
2023,ESP,27,trawlers,13122.767681966085,9555.488275287502,1571019.0286118055,15282639.81613762,28199757.850983888,46361.48903138889,60349,1931.7287096412035,34
2023,FRA,27,dredge_fishing,72.81840202859277,61.8956409530978,3338.400783333333,6553.778422222223,53403.22861111111,279.59805555555556,275,11.649918981481482,1
2023,FRA,27,drifting_longlines,531.1953220143789,406.35717808414785,329232.70759525,2499025.6353097996,6573972.743770277,15830.193598055555,23250,659.5913999189814,23
2023,FRA,27,pots_and_traps,143.3532905173188,119.55664249033589,158330.41138152502,664492.3279541306,2039353.633478889,9679.260378611112,12730,403.30251577546295,15
2023,FRA,27,seiners,2077.45536220913,1956.437920645392,8411.358152069444,35181.55110668611,143953.44615694444,396.8536086111111,2199,16.53556702546296,3
2023,FRA,27,set_gillnets,5092.220929367921,3831.3182542572936,1589925.5101764584,8478087.769976873,25753480.99117889,88938.40024972222,150739,3705.766677071759,95
2023,FRA,27,trawlers,10809.25440385351,7067.486814973622,1580029.2017599028,6977145.494833066,29479914.102593612,93547.77612,146692,3897.824005,118
2023,IRL,27,seiners,642.462243412527,642.462243412527,0,1404.2138888888887,3034.2111111111108,3.961111111111111,43,0.16504629629629627,1
2023,IRL,27,trawlers,5.0920593684624516,4.1011646001653235,226.79513888888889,184019.8405555556,393849.9267222223,827.8425000000001,3071,34.493437500000006,12
2023,PRT,27,drifting_longlines,33.147633726504644,28.378761859371693,2250.7358,13513.883333333331,31298.183333333334,85.60222222222222,249,3.566759259259259,2
2023,PRT,27,trawlers,709.0128970467885,491.8156225898721,45.56523611111111,332.4153583333333,1119.052861111111,1.833611111111111,20,0.07640046296296296,1
