year,fao_landing_c_name,iso3_code,fao_area_code,spp_alpha,landings_spc_area,fao_land_id,fishery_name,fishery_id,gear,depth,location,vessel_length,catch_norm,catch_fishery_area_spc
2022,Spain,ESP,27,mnz,16.5579265658747,378,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,16.5579265658747
2022,Spain,ESP,27,mol,0.458963282937365,379,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.458963282937365
2022,Spain,ESP,27,mon,218.189481641469,380,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,218.189481641469
2022,Spain,ESP,27,mui,0.0153995680345572,383,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.0153995680345572
2022,Spain,ESP,27,oct,0.00539956803455724,397,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.00539956803455724
2022,Spain,ESP,27,oil,0.00269978401727862,399,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.00269978401727862
2022,Spain,ESP,27,oyg,15.969222462203,403,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,15.969222462203
2022,Spain,ESP,27,pcb,29.3655507559395,407,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,29.3655507559395
2022,Spain,ESP,27,pel,0.035097192224622,409,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.035097192224622
2022,Spain,ESP,27,qsc,0.00269978401727862,423,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.00269978401727862
2022,Spain,ESP,27,raz,0.00269978401727862,427,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.00269978401727862
2022,Spain,ESP,27,rjc,159.49524838013,431,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,159.49524838013
2022,Spain,ESP,27,rje,0.159892008639309,432,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.159892008639309
2022,Spain,ESP,27,rjh,2.31371490280778,433,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,2.31371490280778
2022,Spain,ESP,27,rji,0.143498920086393,434,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.143498920086393
2022,Spain,ESP,27,rjm,16.9303455723542,435,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,16.9303455723542
2022,Spain,ESP,27,rjn,93.7890496760259,436,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,93.7890496760259
2022,Spain,ESP,27,scx,0.0134989200863931,461,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.0134989200863931
2022,Spain,ESP,27,six,0.0107991360691145,469,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.0107991360691145
2022,Spain,ESP,27,skh,0.00269978401727862,471,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.00269978401727862
2022,Spain,ESP,27,sli,0.591252699784017,473,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.591252699784017
2022,Spain,ESP,27,slx,0.0323974082073434,476,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.0323974082073434
2022,Spain,ESP,27,sma,0.00269978401727862,477,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.00269978401727862
2022,Spain,ESP,27,smd,0.00539956803455724,478,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.00539956803455724
2022,Spain,ESP,27,sor,0.00809935205183585,483,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.00809935205183585
2022,Spain,ESP,27,spr,0.00809935205183585,486,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.00809935205183585
2022,Spain,ESP,27,stt,0.00269978401727862,501,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.00269978401727862
2022,Spain,ESP,27,trc,0.00269978401727862,514,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.00269978401727862
2022,Spain,ESP,27,whe,0.0107991360691145,532,Other Spanish fisheries in NE Atlantic,1609,MIS,NA,NA,NA,1,0.0107991360691145
2023,France,FRA,27,alb,806.053863930886,561,French NEAO other gear fishery,512,MIS,NA,NA,NA,1,806.053863930886
